order_id,order_arrival,process_start_time,order_complete_time,station_id,
-7,0,2113,2277,picker-1,164
127,1080,2133,2289,picker-2,156
240,2100,2106,2289,picker-3,183
244,2100,2127,2298,picker-2,171
235,2100,2170,2308,picker-3,138
247,2160,2165,2340,picker-3,175
230,2040,2120,2350,picker-1,230
213,1860,2197,2355,picker-2,158
177,1620,2217,2372,picker-1,155
93,840,2206,2376,picker-3,170
68,720,2265,2385,picker-1,120
255,2220,2244,2391,picker-1,147
256,2220,2228,2397,picker-1,169
155,1380,2274,2403,picker-3,129
248,2160,2173,2407,picker-2,234
12,420,2278,2408,picker-1,130
189,1680,2145,2413,picker-2,268
-45,0,2220,2418,picker-3,198
257,2220,2263,2419,picker-2,156
234,2100,2291,2446,picker-3,155
226,1980,2290,2477,picker-2,187
262,2280,2299,2477,picker-2,178
16,420,2309,2482,picker-3,173
258,2280,2356,2492,picker-2,136
261,2280,2373,2504,picker-1,131
269,2340,2341,2518,picker-3,177
246,2160,2377,2526,picker-3,149
165,1500,2386,2532,picker-1,146
276,2340,2351,2544,picker-1,193
272,2340,2392,2550,picker-1,158
280,2400,2404,2581,picker-3,177
259,2280,2409,2581,picker-1,172
243,2100,2420,2595,picker-2,175
281,2400,2414,2601,picker-2,187
290,2460,2493,2609,picker-2,116
282,2400,2419,2616,picker-3,197
139,1200,2408,2629,picker-2,221
254,2220,2447,2632,picker-3,185
103,960,2398,2650,picker-1,252
252,2220,2478,2657,picker-2,179
275,2340,2483,2663,picker-3,180
267,2340,2478,2665,picker-2,187
287,2460,2505,2666,picker-1,161
260,2280,2519,2668,picker-3,149
297,2520,2527,2674,picker-3,147
222,1980,2551,2699,picker-1,148
294,2520,2583,2710,picker-3,127
292,2520,2610,2727,picker-2,117
296,2520,2545,2727,picker-1,182
38,540,2533,2733,picker-1,200
291,2520,2582,2739,picker-1,157
197,1740,2602,2749,picker-2,147
278,2400,2633,2772,picker-3,139
299,2520,2630,2773,picker-2,143
309,2580,2596,2779,picker-2,183
307,2580,2617,2782,picker-3,165
277,2400,2667,2794,picker-1,127
183,1620,2651,2807,picker-1,156
286,2460,2658,2812,picker-2,154
274,2340,2669,2841,picker-3,172
311,2640,2664,2847,picker-3,183
325,2700,2700,2847,picker-1,147
317,2700,2711,2862,picker-3,151
211,1860,2666,2881,picker-2,215
327,2700,2729,2887,picker-2,158
-66,0,2750,2895,picker-2,145
300,2520,2740,2904,picker-1,164
301,2520,2728,2910,picker-1,182
323,2700,2734,2919,picker-1,185
241,2100,2675,2937,picker-3,262
328,2760,2773,2946,picker-3,173
333,2760,2780,2961,picker-2,181
329,2760,2795,2970,picker-1,175
298,2520,2813,2980,picker-2,167
198,1740,2808,2985,picker-1,177
321,2700,2774,2986,picker-2,212
268,2340,2783,2998,picker-3,215
283,2400,2842,3034,picker-3,192
302,2520,2848,3040,picker-1,192
295,2520,2849,3040,picker-3,191
341,2820,2882,3042,picker-2,160
358,2880,2896,3047,picker-2,151
221,1920,2863,3076,picker-3,213
225,1980,2920,3077,picker-1,157
326,2700,2947,3082,picker-3,135
-69,0,2911,3083,picker-1,172
346,2820,2888,3085,picker-2,197
95,840,2905,3101,picker-1,196
363,2940,2962,3112,picker-2,150
361,2940,2981,3123,picker-2,142
365,2940,2971,3133,picker-1,162
242,2100,2986,3139,picker-1,153
356,2880,2987,3141,picker-2,154
279,2400,2938,3163,picker-3,225
375,3000,3042,3172,picker-3,130
345,2820,3043,3177,picker-2,134
336,2760,2999,3184,picker-3,185
364,2940,3035,3190,picker-3,155
354,2880,3041,3204,picker-1,163
339,2820,3078,3210,picker-1,132
337,2820,3048,3223,picker-2,175
199,1740,3083,3226,picker-3,143
353,2880,3084,3228,picker-1,144
84,840,3077,3232,picker-3,155
285,2460,3086,3244,picker-2,158
362,2940,3134,3257,picker-1,123
378,3060,3113,3270,picker-2,157
351,2880,3140,3285,picker-1,145
381,3060,3124,3290,picker-2,166
310,2580,3102,3292,picker-1,190
371,3000,3173,3298,picker-3,125
340,2820,3178,3306,picker-2,128
368,3000,3164,3309,picker-3,145
391,3180,3185,3315,picker-3,130
305,2580,3142,3318,picker-2,176
373,3000,3191,3321,picker-3,130
355,2880,3205,3351,picker-1,146
386,3120,3211,3366,picker-1,155
271,2340,3227,3373,picker-3,146
389,3180,3229,3386,picker-1,157
396,3180,3224,3394,picker-2,170
384,3120,3258,3398,picker-1,140
394,3180,3233,3399,picker-3,166
343,2820,3245,3406,picker-2,161
342,2820,3293,3410,picker-1,117
393,3180,3271,3412,picker-2,141
406,3240,3286,3416,picker-1,130
407,3240,3291,3426,picker-2,135
239,2100,3299,3444,picker-3,145
413,3300,3316,3453,picker-3,137
284,2400,3307,3457,picker-2,150
402,3240,3310,3459,picker-3,149
419,3300,3352,3489,picker-1,137
229,2040,3322,3500,picker-3,178
399,3240,3319,3504,picker-2,185
404,3240,3367,3506,picker-1,139
422,3360,3374,3507,picker-3,133
429,3360,3400,3518,picker-3,118
431,3360,3395,3523,picker-2,128
179,1620,3387,3538,picker-1,151
330,2760,3411,3544,picker-1,133
415,3300,3399,3549,picker-1,150
417,3300,3413,3551,picker-2,138
395,3180,3417,3555,picker-1,138
233,2100,3427,3557,picker-2,130
435,3420,3445,3562,picker-3,117
303,2520,3407,3573,picker-2,166
418,3300,3454,3586,picker-3,132
349,2880,3460,3596,picker-3,136
