item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_weight,item_unit,item_quantity_order_unique,item_pod_inventory_level,item_warehouse_inventory_level
15,14000015001,0,42,4,45.0,34.0,24.0,36720.0,3.46,5,7344.0,0.692,PCS,"[1, 2, 3, 4, 5, 7, 8]",0.4,0.4
16,14110019001,0,41,3,43.0,26.0,22.0,24596.0,3.07,10,2459.6,0.307,PCS,"[1, 2, 10]",0.4,0.4
17,14105026001,0,37,2,36.0,34.0,18.0,22032.0,2.71,9,2448.0,0.301,PCS,"[1, 2, 3, 4]",0.4,0.4
18,14010219001,0,36,4,44.0,26.0,23.0,26312.0,1.5,10,2631.2,0.15,PCS,"[1, 2, 3, 5, 6, 9]",0.4,0.4
19,12020243001,0,35,4,27.0,18.0,19.0,9234.0,1.67,12,769.5,0.139,PCS,"[1, 2, 5, 10]",0.4,0.4
20,14001039001,0,35,4,33.0,24.0,32.0,25344.0,4.97,12,2112.0,0.414,PCS,"[1, 2, 3, 4, 6]",0.4,0.4
21,10010019001,0,35,23,32.0,17.0,14.0,7616.0,5.1,18,423.1,0.283,PCS,"[6, 12, 18, 36]",0.4,0.4
22,11072001001,0,33,8,51.0,39.0,15.0,29835.0,10.45,12,2486.3,0.871,PCS,"[1, 2, 3, 4, 8, 10, 12]",0.4,0.4
23,14506096001,0,33,2,39.0,27.0,23.0,24219.0,12.69,10,2421.9,1.269,PCS,"[1, 2]",0.4,0.4
24,14204010001,0,33,23,31.0,23.0,21.0,14973.0,1.62,30,499.1,0.054,PCS,"[5, 10, 15, 30]",0.4,0.4
25,14202041001,0,33,3,39.0,29.0,16.0,18096.0,2.04,12,1508.0,0.17,PCS,"[1, 2, 9]",0.4,0.4
26,14610008001,0,32,3,35.0,24.0,29.0,24360.0,12.1,6,4060.0,2.017,PCS,"[1, 2, 3, 6]",0.4,0.4
27,14630027001,0,31,5,29.0,22.0,18.0,11484.0,10.0,12,957.0,0.833,PCS,"[1, 2, 3, 6, 12]",0.4,0.4
28,14244919001,0,31,4,39.0,30.0,17.0,19890.0,4.0,12,1657.5,0.333,PCS,"[1, 2, 3, 6, 7]",0.4,0.4
29,12102080001,0,30,2,45.0,33.0,22.0,32670.0,11.336,24,1361.3,0.472,PCS,"[1, 2]",0.4,0.4
30,31709974001,0,30,3,66.0,25.0,7.0,11550.0,0.7,12,962.5,0.058,PCS,"[1, 2, 3]",0.4,0.4
31,11071916001,0,30,3,17.0,15.0,9.0,2295.0,0.3,12,191.3,0.025,PCS,"[1, 2, 3, 6]",0.4,0.4
32,12210003001,0,30,10,24.0,12.0,48.0,13536.0,0.2,1,13536.0,0.2,PCS,"[5, 10]",0.4,0.4
33,14131074001,0,30,4,43.0,27.0,24.0,27864.0,5.61,24,1161.0,0.234,PCS,"[1, 2, 3, 4, 6, 10]",0.4,0.4
34,31602045001,0,29,4,25.0,17.0,16.0,6800.0,1.72,24,283.3,0.072,PCS,"[1, 2, 4, 6]",0.4,0.4
35,15021047001,0,29,30,42.0,17.0,14.0,9996.0,6.78,24,416.5,0.283,PCS,"[6, 12, 18, 24, 36, 48]",0.4,0.4
36,14506281001,0,29,8,35.0,35.0,16.0,19600.0,2.8,24,816.7,0.117,PCS,[8],0.4,0.4
37,31500025001,0,29,4,50.0,26.0,25.0,32500.0,15.12,30,1083.3,0.504,PCS,"[1, 2, 3, 5, 6]",0.4,0.4
38,10014086001,0,28,28,40.0,27.0,23.0,24840.0,9.372,24,1035.0,0.39,PCS,"[4, 8, 12, 24, 44, 48]",0.4,0.4
39,10020016001,0,28,22,42.0,29.0,20.0,24360.0,13.124,24,1015.0,0.547,PCS,"[4, 8, 12, 16, 20, 24]",0.4,0.4
40,14810030001,0,28,9,36.0,28.0,18.0,18144.0,10.55,24,756.0,0.44,PCS,"[2, 4, 6, 8, 22]",0.4,0.4
41,14131024001,0,28,4,43.0,27.0,24.0,27864.0,5.3,24,1161.0,0.221,PCS,"[1, 2, 4, 5, 6]",0.4,0.4
42,10020025001,0,28,24,33.0,22.0,13.0,9438.0,6.42,24,393.3,0.268,PCS,"[6, 12, 24, 48]",0.4,0.4
43,14833060001,0,28,2,30.0,21.0,10.0,6300.0,4.57,12,525.0,0.381,PCS,"[1, 2]",0.4,0.4
44,10014029001,0,27,25,41.0,28.0,18.0,20664.0,12.92,24,861.0,0.538,PCS,"[3, 6, 9, 15, 18, 24, 48]",0.4,0.4
45,11071902001,0,27,3,43.0,28.0,15.0,18060.0,1.42,12,1505.0,0.118,PCS,"[1, 2, 5]",0.4,0.4
46,14020977001,0,27,3,30.0,24.0,23.0,16560.0,2.25,20,828.0,0.112,PCS,"[1, 2, 5, 6]",0.4,0.4
47,14022107001,0,27,3,50.0,29.0,25.0,36250.0,1.7,12,3020.8,0.142,PCS,"[1, 2, 5]",0.4,0.4
48,14370072001,0,27,5,44.0,35.0,16.0,24640.0,10.2,30,821.3,0.34,PCS,"[1, 2, 4, 5, 7, 11]",0.4,0.4
49,14510118001,0,27,3,35.0,24.0,5.0,4288.0,2.5,1,4287.5,2.5,PCS,"[1, 2, 6]",0.4,0.4
50,14110010001,0,26,3,43.0,26.0,22.0,24596.0,2.61,10,2459.6,0.261,PCS,"[1, 2, 4, 6]",0.4,0.4
51,14120044001,0,26,3,37.0,24.0,24.0,21312.0,3.84,12,1776.0,0.32,PCS,"[1, 2, 3, 5]",0.4,0.4
52,14332016001,0,26,3,49.0,33.0,22.0,35574.0,11.5,6,5929.0,1.917,PCS,"[1, 2, 6]",0.4,0.4
53,14506190001,0,26,3,45.0,27.0,18.0,21870.0,13.39,12,1822.5,1.116,PCS,"[1, 2, 4]",0.4,0.4
54,12010080001,0,26,15,36.0,23.0,25.0,20700.0,12.14,144,143.8,0.084,PCS,"[6, 12, 30]",0.4,0.4
55,10030021001,0,26,24,43.0,29.0,24.0,29928.0,15.762,24,1247.0,0.657,PCS,"[4, 8, 12, 20, 24, 44]",0.4,0.4
56,14332014001,0,25,3,49.0,34.0,21.0,34986.0,12.36,6,5831.0,2.06,PCS,"[1, 2, 6]",0.4,0.4
57,14832056001,0,25,6,32.0,22.0,9.0,6336.0,3.65,24,264.0,0.152,PCS,"[3, 6, 9]",0.4,0.4
58,14506225001,0,25,7,38.0,32.0,14.0,17024.0,3.7,16,1064.0,0.231,PCS,"[4, 8]",0.4,0.4
59,30045077001,0,25,5,32.0,26.0,13.0,10816.0,1.5,20,540.8,0.075,PCS,"[1, 2, 3, 4, 6]",0.4,0.4
60,12010059001,0,25,10,39.0,31.0,25.0,30225.0,16.51,144,209.9,0.115,PCS,"[6, 12]",0.4,0.4
61,31500022004,0,25,3,46.0,32.0,13.0,19136.0,6.24,20,956.8,0.312,PCS,"[1, 2, 3, 4, 6]",0.4,0.4
62,14131044001,0,24,2,30.0,26.0,21.0,16380.0,2.0,10,1638.0,0.2,PCS,"[1, 2, 4]",0.4,0.4
63,14370076001,0,24,7,40.0,3.0,20.0,2400.0,21.34,40,60.0,0.534,PCS,"[1, 2, 3, 4, 8, 9, 10, 11]",0.4,0.4
64,14506018001,0,24,2,40.0,22.0,12.0,10560.0,7.8,4,2640.0,1.95,PCS,"[1, 2]",0.4,0.4
65,14111030001,0,24,3,29.0,21.0,8.0,4872.0,0.27,1,4872.0,0.27,PCS,"[1, 2, 3, 5]",0.4,0.4
66,14023210001,0,24,2,36.0,6.0,20.0,4320.0,0.6,1,4320.0,0.6,PCS,"[1, 2]",0.4,0.4
67,14022027001,0,24,6,31.0,19.0,26.0,15314.0,2.0,15,1020.9,0.133,PCS,"[1, 2, 10, 12]",0.4,0.4
68,14741039001,0,24,4,38.0,27.0,13.0,13338.0,7.4,12,1111.5,0.617,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.4
69,14243020001,0,24,2,30.0,19.0,15.0,8550.0,2.81,6,1425.0,0.468,PCS,"[1, 2]",0.4,0.4
70,12105045001,0,23,3,22.0,20.0,27.0,11880.0,5.188,3,3960.0,1.729,PCS,"[1, 2, 5]",0.4,0.4
71,12106030001,0,23,12,27.0,16.0,18.0,7776.0,1.12,48,162.0,0.023,PCS,"[2, 4, 8, 12, 24]",0.4,0.4
72,31567019001,0,23,4,35.0,19.0,20.0,13300.0,5.16,12,1108.3,0.43,PCS,"[1, 2, 4, 6]",0.4,0.4
73,14833011001,0,23,9,36.0,27.0,18.0,17496.0,10.2,48,364.5,0.212,PCS,"[3, 6, 9, 12]",0.4,0.4
74,14833002001,0,23,3,38.0,28.0,16.0,17024.0,4.0,12,1418.7,0.333,PCS,"[1, 2, 4]",0.4,0.4
75,14633934001,0,23,4,34.0,28.0,16.0,15232.0,8.88,72,211.6,0.123,PCS,"[1, 2, 3, 4, 6]",0.4,0.4
76,11050045001,0,23,3,37.0,23.0,33.0,28083.0,13.97,4,7020.8,3.492,PCS,"[1, 2, 4]",0.4,0.4
77,12120006001,0,23,5,36.0,30.0,19.0,20520.0,1.81,12,1710.0,0.151,PCS,"[1, 2, 3, 6, 10]",0.4,0.4
78,12212019001,0,23,5,31.0,19.0,29.0,17081.0,8.0,3,5693.7,2.667,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.4
79,12121089001,0,23,9,40.0,23.0,31.0,28520.0,3.24,24,1188.3,0.135,PCS,"[2, 4, 8, 10, 16]",0.4,0.4
80,14243133001,0,23,3,30.0,20.0,16.0,9600.0,2.82,6,1600.0,0.47,PCS,"[1, 2, 3, 6]",0.4,0.4
81,14523031001,0,23,3,30.0,27.0,20.0,16200.0,6.396,12,1350.0,0.533,PCS,"[1, 2, 6]",0.4,0.4
82,14353045001,0,22,2,54.0,40.0,18.0,38880.0,11.17,12,3240.0,0.931,PCS,"[1, 2, 4]",0.4,0.4
83,14352069001,0,22,2,51.0,25.0,24.0,30600.0,4.5,12,2550.0,0.375,PCS,"[1, 2, 4]",0.4,0.4
84,14241037001,0,22,5,26.0,25.0,16.0,10400.0,1.734,30,346.7,0.058,PCS,"[1, 2, 3, 5, 12]",0.4,0.4
85,14111041001,0,22,3,43.0,35.0,24.0,36120.0,5.0,10,3612.0,0.5,PCS,"[1, 2, 3, 5]",0.4,0.4
86,14210081001,0,22,4,36.0,21.0,19.0,14364.0,1.03,20,718.2,0.052,PCS,"[1, 2, 3, 8]",0.4,0.4
87,14203059001,0,22,3,43.0,30.0,18.0,23220.0,2.88,20,1161.0,0.144,PCS,"[1, 2, 3, 7]",0.4,0.4
88,12010036001,0,22,14,36.0,23.0,25.0,20700.0,12.14,144,143.8,0.084,PCS,"[6, 12, 18]",0.4,0.4
89,15020904001,0,22,11,37.0,20.0,21.0,15540.0,13.3,12,1295.0,1.108,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12]",0.4,0.4
90,14511026001,0,22,4,35.0,24.0,5.0,4288.0,1.0,1,4287.5,1.0,PCS,"[1, 2, 6]",0.4,0.4
91,31532099001,0,22,3,60.0,30.0,14.0,25200.0,1.2,24,1050.0,0.05,PCS,"[2, 4]",0.4,0.4
92,14832005001,0,22,12,35.0,26.0,12.0,10920.0,7.3,24,455.0,0.304,PCS,"[3, 6, 9, 12, 18, 24]",0.4,0.4
93,14010088001,0,22,21,42.0,33.0,14.0,19404.0,2.43,15,1293.6,0.162,PCS,"[1, 2, 4, 11, 15, 30]",0.4,0.4
94,14615107001,0,22,3,29.0,23.0,29.0,19343.0,11.5,12,1611.9,0.958,PCS,"[1, 2, 5]",0.4,0.4
95,10032048001,0,22,19,42.0,28.0,24.0,28224.0,15.46,24,1176.0,0.644,PCS,"[4, 8, 16, 20, 24]",0.4,0.4
96,15021057001,0,22,28,33.0,16.0,13.0,6864.0,5.32,24,286.0,0.222,PCS,"[6, 12, 18, 24, 36]",0.4,0.4
97,10021022001,0,22,22,42.0,19.0,24.0,19152.0,13.12,12,1596.0,1.093,PCS,"[12, 24]",0.4,0.4
98,12123079001,0,21,5,33.0,28.0,19.0,17556.0,1.49,12,1463.0,0.124,PCS,"[1, 2, 3, 6, 7]",0.4,0.4
99,14222089001,0,21,2,37.0,24.0,15.0,13320.0,3.9,12,1110.0,0.325,PCS,"[1, 2, 3]",0.4,0.4
100,11050895001,0,21,3,33.0,25.0,30.0,24750.0,13.7,12,2062.5,1.142,PCS,"[1, 2, 3, 6]",0.4,0.4
101,15022021001,0,21,26,33.0,16.0,13.0,6864.0,5.42,24,286.0,0.226,PCS,"[6, 12, 18, 24, 48]",0.4,0.4
102,14202018001,0,21,5,37.0,27.0,21.0,20979.0,7.67,24,874.1,0.32,PCS,"[1, 2, 3, 5, 12]",0.4,0.4
103,14740038001,0,21,6,45.0,34.0,19.0,29070.0,12.84,12,2422.5,1.07,PCS,"[1, 2, 3, 4, 5, 8, 12]",0.4,0.4
104,12011237001,0,21,3,49.0,24.0,26.0,30576.0,12.55,6,5096.0,2.092,PCS,"[1, 2, 5]",0.4,0.4
105,12000108001,0,21,2,43.0,23.0,25.0,24725.0,12.1,12,2060.4,1.008,PCS,"[1, 2]",0.4,0.4
106,14612005001,0,21,3,33.0,25.0,28.0,23100.0,17.662,12,1925.0,1.472,PCS,"[1, 2, 3]",0.4,0.4
107,14805059001,0,21,17,41.0,27.0,13.0,14391.0,10.1,24,599.6,0.421,PCS,"[6, 12, 24, 36]",0.4,0.4
108,12123111001,0,21,6,8.0,12.0,11.0,1102.0,0.2,1,1102.08,0.2,PCS,"[3, 6]",0.4,0.4
109,14120014001,0,21,2,44.0,33.0,20.0,29040.0,6.71,12,2420.0,0.559,PCS,"[1, 2, 4]",0.4,0.4
110,12010192001,0,20,2,30.0,20.0,16.0,9600.0,3.5,12,800.0,0.292,PCS,"[1, 2]",0.4,0.4
111,14241023001,0,20,3,43.0,30.0,17.0,21930.0,5.15,24,913.8,0.215,PCS,"[1, 2, 3]",0.4,0.4
112,12120007001,0,20,5,36.0,30.0,19.0,20520.0,1.83,12,1710.0,0.152,PCS,"[1, 2, 6, 8]",0.4,0.4
113,14121039001,0,20,2,43.0,32.0,16.0,22016.0,5.86,12,1834.7,0.488,PCS,"[1, 2, 4]",0.4,0.4
114,14820031001,0,20,3,31.0,22.0,14.0,9548.0,7.43,12,795.7,0.619,PCS,"[1, 2, 4]",0.4,0.4
115,14822062001,0,20,2,30.0,23.0,13.0,8970.0,7.54,12,747.5,0.628,PCS,"[1, 2]",0.4,0.4
116,14001096001,0,20,2,48.0,20.0,25.0,24000.0,3.2,12,2000.0,0.267,PCS,"[1, 2]",0.4,0.4
117,14506045001,0,20,2,46.0,23.0,27.0,28566.0,4.57,12,2380.5,0.381,PCS,"[1, 2]",0.4,0.4
118,14601065001,0,20,2,34.0,28.0,19.0,18088.0,10.78,60,301.5,0.18,PCS,"[1, 2]",0.4,0.4
119,14523104001,0,20,2,17.0,18.0,4.0,1224.0,0.2,1,1224.0,0.2,PCS,"[1, 2]",0.4,0.4
120,14330039001,0,20,4,53.0,40.0,17.0,36040.0,12.92,12,3003.3,1.077,PCS,"[1, 2, 3, 4, 10]",0.4,0.4
121,14512013001,0,20,2,50.0,24.0,21.0,25200.0,15.29,12,2100.0,1.274,PCS,"[1, 2, 3]",0.4,0.4
122,12001109001,0,20,2,20.0,22.0,24.0,10560.0,5.49,6,1760.0,0.915,PCS,"[1, 2, 3]",0.4,0.4
123,10014030001,0,20,22,42.0,29.0,24.0,29232.0,13.78,24,1218.0,0.574,PCS,"[4, 8, 16, 24, 44]",0.4,0.4
124,12000016001,0,20,2,38.0,24.0,21.0,19152.0,10.068,12,1596.0,0.839,PCS,"[1, 2, 3]",0.4,0.4
125,14010226001,0,20,3,42.0,35.0,20.0,29400.0,1.1,10,2940.0,0.11,PCS,"[1, 2, 5]",0.4,0.4
126,12123901001,0,20,11,11.0,10.0,16.0,1758.0,0.4,1,1757.59,0.4,PCS,"[2, 4, 6, 8, 12, 14, 20]",0.4,0.4
127,14104005001,0,20,3,32.0,25.0,21.0,16800.0,1.806,10,1680.0,0.181,PCS,"[1, 2, 6]",0.4,0.4
128,11073907001,0,20,3,26.0,24.0,13.0,8112.0,3.0,12,676.0,0.25,PCS,"[1, 2, 3]",0.4,0.4
129,14210024001,0,19,4,36.0,25.0,27.0,24300.0,5.622,25,972.0,0.225,PCS,"[1, 2, 3, 4, 5]",0.4,0.4
130,14010038001,0,19,16,39.0,26.0,18.0,18252.0,1.94,15,1216.8,0.129,PCS,[15],0.4,0.4
131,10031023001,0,19,21,43.0,27.0,24.0,27864.0,15.0,24,1161.0,0.625,PCS,"[4, 8, 16, 24]",0.4,0.4
132,14210046001,0,19,2,41.0,29.0,14.0,16646.0,4.78,12,1387.2,0.398,PCS,"[1, 2, 3]",0.4,0.4
133,10020012001,0,19,27,40.0,27.0,10.0,10800.0,7.23,24,450.0,0.301,PCS,"[6, 12, 24, 48]",0.4,0.4
134,14242145001,0,19,2,38.0,28.0,24.0,25536.0,2.8,12,2128.0,0.233,PCS,"[1, 2, 3]",0.4,0.4
135,12012145001,1,5,13,27.0,19.0,15.0,7695.0,4.7,24,320.6,0.196,PCS,"[1, 5, 6, 12]",0.5,0.5
136,14506349001,1,4,2,54.0,31.0,21.0,35154.0,9.4,24,1464.8,0.392,PCS,"[1, 2]",0.5,0.5
137,14351069001,1,4,15,49.0,33.0,25.0,40425.0,4.582,18,2245.8,0.255,PCS,"[1, 9, 10, 13]",0.5,0.5
138,14620061001,1,3,6,27.0,21.0,30.0,17010.0,10.1,12,1417.5,0.842,PCS,"[1, 6]",0.5,0.5
139,14204069001,1,3,3,49.0,33.0,21.0,33957.0,4.506,36,943.3,0.125,PCS,"[1, 3]",0.5,0.5
140,12012014001,1,2,3,30.0,16.0,20.0,9600.0,1.76,12,800.0,0.147,PCS,"[1, 2]",0.5,0.5
141,12012985001,1,2,3,37.0,19.0,19.0,13357.0,6.056,24,556.5,0.252,PCS,"[1, 2]",0.5,0.5
142,12013033001,1,2,2,38.0,28.0,19.0,20216.0,1.84,6,3369.3,0.307,PCS,[2],0.5,0.5
143,12016100001,1,2,1,24.0,17.0,14.0,5712.0,4.18,24,238.0,0.174,PCS,[1],0.5,0.5
144,12123099001,1,2,15,11.0,10.0,14.0,1484.0,0.1,1,1483.9,0.1,PCS,"[4, 12]",0.5,0.5
145,12000036001,1,2,3,26.0,22.0,23.0,13156.0,7.003,6,2192.7,1.167,PCS,"[1, 2]",0.5,0.5
146,12020147001,1,2,7,27.0,16.0,19.0,8208.0,3.12,12,684.0,0.26,PCS,"[2, 6]",0.5,0.5
147,12105025001,1,2,1,40.0,29.0,20.0,23200.0,9.63,12,1933.3,0.803,PCS,[1],0.5,0.5
148,12105018001,1,2,1,26.0,24.0,21.0,13104.0,6.374,12,1092.0,0.531,PCS,[1],0.5,0.5
149,30450039001,1,2,1,33.0,22.0,21.0,15246.0,2.42,24,635.3,0.101,PCS,[1],0.5,0.5
150,12011126001,1,2,5,47.0,28.0,21.0,27636.0,13.83,12,2303.0,1.152,PCS,"[1, 4]",0.5,0.5
151,14310053001,1,2,1,52.0,22.0,20.0,22880.0,6.0,6,3813.3,1.0,PCS,[1],0.5,0.5
152,12327063001,1,2,1,41.0,27.0,10.0,11070.0,7.7,1,11070.0,7.7,PCS,[1],0.5,0.5
153,12021923001,1,2,13,23.0,14.0,18.0,5796.0,2.4,12,483.0,0.2,PCS,"[10, 12]",0.5,0.5
154,61080010002,1,2,5,21.0,10.0,15.0,3150.0,1.0,6,525.0,0.167,PCS,"[1, 4]",0.5,0.5
155,14222120001,1,2,13,29.0,11.0,20.0,6380.0,1.78,10,638.0,0.178,PCS,"[1, 10]",0.5,0.5
156,12022171001,1,2,2,17.0,17.0,21.0,6069.0,1.06,12,505.8,0.088,PCS,[2],0.5,0.5
157,10023037001,1,2,14,41.0,28.0,24.0,27552.0,14.08,24,1148.0,0.587,PCS,"[4, 12]",0.5,0.5
158,14020978001,1,2,37,37.0,20.0,22.0,16280.0,2.48,14,1162.9,0.177,PCS,"[1, 30]",0.5,0.5
159,12005084008,1,2,1,15.0,9.0,16.0,2160.0,0.3,3,720.0,0.1,PCS,[1],0.5,0.5
160,12021994001,1,2,3,20.0,17.0,17.0,5780.0,2.852,12,481.7,0.238,PCS,"[1, 2]",0.5,0.5
161,10041058001,1,2,9,41.0,28.0,23.0,26404.0,15.0,24,1100.2,0.625,PCS,"[4, 8]",0.5,0.5
162,12344036001,1,1,2,25.0,17.0,6.0,2550.0,0.632,10,255.0,0.063,PCS,[2],0.5,0.5
163,12202006001,1,1,19,31.0,21.0,22.0,14322.0,1.0,1,14322.0,1.0,PCS,"[1, 4, 7]",0.5,0.5
164,12327014001,1,1,1,41.0,29.0,19.0,22591.0,6.9,6,3765.2,1.15,PCS,[1],0.5,0.5
165,12151018001,1,1,1,18.0,17.0,3.0,918.0,0.538,6,153.0,0.09,PCS,[1],0.5,0.5
166,12140011001,1,1,1,41.0,27.0,18.0,19926.0,9.3,12,1660.5,0.775,PCS,[1],0.5,0.5
167,12211004001,1,1,16,21.0,20.0,10.0,4095.0,0.1,1,4095.0,0.1,PCS,[16],0.5,0.5
168,14111053001,1,1,35,47.0,20.0,25.0,23500.0,2.91,12,1958.3,0.243,PCS,"[5, 19]",0.5,0.5
169,12234921001,1,1,2,51.0,24.0,43.0,52632.0,4.23,3,17544.0,1.41,PCS,[1],0.5,0.5
170,12302047001,1,1,1,24.0,13.0,17.0,5304.0,1.66,12,442.0,0.138,PCS,[1],0.5,0.5
171,12120065001,1,1,3,39.0,29.0,16.0,18096.0,2.3,36,502.7,0.064,PCS,[3],0.5,0.5
172,14222121001,1,1,1,28.0,11.0,20.0,6160.0,1.8,10,616.0,0.18,PCS,[1],0.5,0.5
173,12326002001,1,1,2,38.0,29.0,24.0,26448.0,0.74,6,4408.0,0.123,PCS,[2],0.5,0.5
174,12123044001,1,1,2,13.0,10.0,16.0,2170.0,0.2,1,2169.86,0.2,PCS,[2],0.5,0.5
175,12320188001,1,1,1,23.0,15.0,9.0,3105.0,1.37,12,258.8,0.114,PCS,[1],0.5,0.5
176,12111010004,1,1,1,32.0,11.0,12.0,4224.0,0.58,12,352.0,0.048,PCS,[1],0.5,0.5
177,12120048001,1,1,2,37.0,22.0,22.0,17908.0,2.49,36,497.4,0.069,PCS,[2],0.5,0.5
178,12103081001,1,1,36,29.0,25.0,31.0,22475.0,1.65,72,312.2,0.023,PCS,[36],0.5,0.5
179,12031127001,1,1,2,8.0,6.0,11.0,528.0,0.25,3,176.0,0.083,PCS,[2],0.5,0.5
180,12032043007,1,1,1,13.0,10.0,11.0,1430.0,0.2,12,119.2,0.017,PCS,[1],0.5,0.5
181,12032101001,1,1,1,30.0,12.0,14.0,5040.0,0.6,24,210.0,0.025,PCS,[1],0.5,0.5
182,12034103001,1,1,2,28.0,28.0,11.0,8624.0,3.308,12,718.7,0.276,PCS,[2],0.5,0.5
183,12034999001,1,1,1,20.0,18.0,8.0,2880.0,0.446,12,240.0,0.037,PCS,[1],0.5,0.5
184,12100911001,1,1,1,45.0,31.0,21.0,29295.0,9.7,60,488.3,0.162,PCS,[1],0.5,0.5
185,12101001002,1,1,6,32.0,18.0,18.0,10368.0,2.12,36,288.0,0.059,PCS,[6],0.5,0.5
186,12101032001,1,1,1,52.0,37.0,15.0,28860.0,7.2,120,240.5,0.06,PCS,[1],0.5,0.5
187,12102092001,1,1,1,22.0,13.0,22.0,6292.0,1.88,12,524.3,0.157,PCS,[1],0.5,0.5
188,12102114001,1,1,1,23.0,8.0,16.0,2944.0,1.21,10,294.4,0.121,PCS,[1],0.5,0.5
189,12103126001,1,1,2,32.0,22.0,26.0,18304.0,1.56,48,381.3,0.032,PCS,[2],0.5,0.5
190,12120043001,1,1,4,8.0,14.0,14.0,1458.0,0.11,1,1458.0,0.11,PCS,[4],0.5,0.5
191,12103127001,1,1,2,39.0,25.0,31.0,30225.0,1.81,48,629.7,0.038,PCS,[2],0.5,0.5
192,12103146001,1,1,1,26.0,26.0,13.0,8788.0,1.04,12,732.3,0.087,PCS,[1],0.5,0.5
193,12103154001,1,1,8,26.0,19.0,26.0,12844.0,1.09,48,267.6,0.023,PCS,[8],0.5,0.5
194,12103156001,1,1,2,34.0,22.0,24.0,17952.0,1.21,48,374.0,0.025,PCS,[2],0.5,0.5
195,12103179001,1,1,1,23.0,8.0,5.0,920.0,0.11,6,153.3,0.018,PCS,[1],0.5,0.5
196,12104006001,1,1,1,30.0,19.0,19.0,10830.0,2.86,24,451.3,0.119,PCS,[1],0.5,0.5
197,12105027001,1,1,1,30.0,31.0,24.0,22320.0,13.08,12,1860.0,1.09,PCS,[1],0.5,0.5
198,12106034001,1,1,1,20.0,15.0,10.0,3000.0,1.2,12,250.0,0.1,PCS,[1],0.5,0.5
199,12106047001,1,1,1,20.0,17.0,22.0,7480.0,0.56,24,311.7,0.023,PCS,[1],0.5,0.5
200,14241001001,1,1,1,41.0,25.0,23.0,23575.0,4.62,20,1178.8,0.231,PCS,[1],0.5,0.5
201,14225934001,1,1,1,24.0,15.0,17.0,6120.0,2.0,36,170.0,0.056,PCS,[1],0.5,0.5
202,10014055001,1,1,24,39.0,26.0,23.0,23322.0,13.2,24,971.8,0.55,PCS,[24],0.5,0.5
