item_code,box_volume,item_volume,number_of_item_in_a_box,slot_type,slot_volume,max_box_in_slot,max_item_in_slot
10002019001,14391.0,599.6,24.0,0,120000,8,192.0
10002021001,9720.0,405.0,24.0,0,120000,12,288.0
10002025001,31920.0,2660.0,12.0,0,120000,3,36.0
10002026001,16368.0,1364.0,12.0,0,120000,7,84.0
10002035001,24242.0,4040.3,6.0,0,120000,4,24.0
10002037001,30240.0,2520.0,12.0,0,120000,3,36.0
10002038001,30240.0,2520.0,12.0,0,120000,3,36.0
10002039001,30240.0,2520.0,12.0,0,120000,3,36.0
10002040001,24242.0,4040.3,6.0,0,120000,4,24.0
10002045001,22440.0,3740.0,6.0,0,120000,5,30.0
10002046001,14964.0,623.5,24.0,0,120000,8,192.0
10002051001,24242.0,4040.3,6.0,0,120000,4,24.0
10002069001,23460.0,3910.0,6.0,0,120000,5,30.0
10002071001,29400.0,1225.0,24.0,0,120000,4,96.0
10002072001,23460.0,3910.0,6.0,0,120000,5,30.0
10002073001,13284.0,553.5,24.0,0,120000,9,216.0
10002074001,27216.0,2268.0,12.0,0,120000,4,48.0
10002078001,23460.0,3910.0,6.0,0,120000,5,30.0
10002102001,12960.0,540.0,24.0,0,120000,9,216.0
10002899001,13284.0,553.5,24.0,0,120000,9,216.0
10002906001,26796.0,1116.5,24.0,0,120000,4,96.0
10002907001,12960.0,540.0,24.0,0,120000,9,216.0
10002911001,12960.0,540.0,24.0,0,120000,9,216.0
10002915001,25542.0,1064.3,24.0,0,120000,4,96.0
10002916001,21870.0,1822.5,12.0,0,120000,5,60.0
10002917001,23188.0,3864.7,6.0,0,120000,5,30.0
10002918001,24955.0,4159.2,6.0,0,120000,4,24.0
10002919001,24955.0,4159.2,6.0,0,120000,4,24.0
10002924001,12480.0,520.0,24.0,0,120000,9,216.0
10002942001,13440.0,560.0,24.0,0,120000,8,192.0
10002943001,14256.0,594.0,24.0,0,120000,8,192.0
10002944001,14256.0,594.0,24.0,0,120000,8,192.0
10002990001,13284.0,553.5,24.0,0,120000,9,216.0
10002992001,11799.0,11799.0,1.0,0,120000,10,10.0
10010001001,7616.0,423.1,18.0,0,120000,15,270.0
10010002001,7700.0,320.8,24.0,0,120000,15,360.0
10010004001,7700.0,320.8,24.0,0,120000,15,360.0
10010007001,7616.0,423.1,18.0,0,120000,15,270.0
10010009001,28224.0,1176.0,24.0,0,120000,4,96.0
10010012001,28224.0,1176.0,24.0,0,120000,4,96.0
10010018001,10800.0,450.0,24.0,0,120000,11,264.0
10010019001,7616.0,423.1,18.0,0,120000,15,270.0
10010023001,5280.0,220.0,24.0,0,120000,22,528.0
10010026001,5280.0,220.0,24.0,0,120000,22,528.0
10010027001,5280.0,220.0,24.0,0,120000,22,528.0
10010035001,7480.0,311.7,24.0,0,120000,16,384.0
10010042001,4032.0,168.0,24.0,0,120000,29,696.0
10010043001,4032.0,168.0,24.0,0,120000,29,696.0
10010044001,5280.0,220.0,24.0,0,120000,22,528.0
10011001001,7480.0,311.7,24.0,0,120000,16,384.0
10011003001,6864.0,286.0,24.0,0,120000,17,408.0
10011004001,6851.0,380.6,18.0,0,120000,17,306.0
10011007001,14400.0,1200.0,12.0,0,120000,8,96.0
10011008001,17238.0,1723.8,10.0,0,120000,6,60.0
10011016001,9100.0,379.2,24.0,0,120000,13,312.0
10011021001,6864.0,286.0,24.0,0,120000,17,408.0
10011023001,3888.0,162.0,24.0,0,120000,30,720.0
10011028001,17280.0,720.0,24.0,0,120000,6,144.0
10012002001,14400.0,1200.0,12.0,0,120000,8,96.0
10012004001,29160.0,2430.0,12.0,0,120000,4,48.0
10012006001,4032.0,168.0,24.0,0,120000,29,696.0
10012008001,6864.0,286.0,24.0,0,120000,17,408.0
10012009001,13572.0,1357.2,10.0,0,120000,8,80.0
10012011001,9100.0,379.2,24.0,0,120000,13,312.0
10012899001,23760.0,990.0,24.0,0,120000,5,120.0
10012907001,6864.0,286.0,24.0,0,120000,17,408.0
10013003001,9100.0,379.2,24.0,0,120000,13,312.0
10013004001,14400.0,1200.0,12.0,0,120000,8,96.0
10013005001,7480.0,311.7,24.0,0,120000,16,384.0
10013007001,6864.0,286.0,24.0,0,120000,17,408.0
10013011001,7072.0,392.9,18.0,0,120000,16,288.0
10013012001,3888.0,162.0,24.0,0,120000,30,720.0
10014001001,5280.0,220.0,24.0,0,120000,22,528.0
10014005001,19926.0,830.3,24.0,0,120000,6,144.0
10014006001,13572.0,1357.2,10.0,0,120000,8,80.0
10014009001,18360.0,765.0,24.0,0,120000,6,144.0
10014014001,14040.0,585.0,24.0,0,120000,8,192.0
10014018001,29640.0,2470.0,12.0,0,120000,4,48.0
10014020001,9061.0,377.5,24.0,0,120000,13,312.0
10014021001,22308.0,1859.0,12.0,0,120000,5,60.0
10014023001,8085.0,336.9,24.0,0,120000,14,336.0
10014024001,8820.0,367.5,24.0,0,120000,13,312.0
10014027001,12636.0,526.5,24.0,0,120000,9,216.0
10014028001,7480.0,311.7,24.0,0,120000,16,384.0
10014029001,20664.0,861.0,24.0,0,120000,5,120.0
10014030001,29232.0,1218.0,24.0,0,120000,4,96.0
10014032001,9100.0,379.2,24.0,0,120000,13,312.0
10014033001,9100.0,379.2,24.0,0,120000,13,312.0
10014034001,9100.0,379.2,24.0,0,120000,13,312.0
10014037001,14040.0,585.0,24.0,0,120000,8,192.0
10014041001,20280.0,845.0,24.0,0,120000,5,120.0
10014043001,14400.0,1200.0,12.0,0,120000,8,96.0
10014044001,10692.0,356.4,30.0,0,120000,11,330.0
10014046001,15309.0,1275.8,12.0,0,120000,7,84.0
10014051001,9438.0,393.3,24.0,0,120000,12,288.0
10014053001,16072.0,669.7,24.0,0,120000,7,168.0
10014055001,23322.0,971.8,24.0,0,120000,5,120.0
10014058001,16200.0,675.0,24.0,0,120000,7,168.0
10014059001,14040.0,585.0,24.0,0,120000,8,192.0
10014062001,6435.0,268.1,24.0,0,120000,18,432.0
10014067001,9758.0,406.6,24.0,0,120000,12,288.0
10014069001,9100.0,379.2,24.0,0,120000,13,312.0
10014073001,14391.0,599.6,24.0,0,120000,8,192.0
10014074001,13776.0,574.0,24.0,0,120000,8,192.0
10014075001,13776.0,574.0,24.0,0,120000,8,192.0
10014076001,13440.0,560.0,24.0,0,120000,8,192.0
10014080001,17712.0,738.0,24.0,0,120000,6,144.0
10014081001,17712.0,738.0,24.0,0,120000,6,144.0
10014083001,18538.0,1544.8,12.0,0,120000,6,72.0
10014086001,24840.0,1035.0,24.0,0,120000,4,96.0
10014090001,7700.0,320.8,24.0,0,120000,15,360.0
10014092001,26936.0,2244.7,12.0,0,120000,4,48.0
10014097001,16560.0,1380.0,12.0,0,120000,7,84.0
10014101001,7700.0,320.8,24.0,0,120000,15,360.0
10014103001,17238.0,1723.8,10.0,0,120000,6,60.0
10014106001,20280.0,845.0,24.0,0,120000,5,120.0
10014109001,19440.0,810.0,24.0,0,120000,6,144.0
10014110001,20520.0,855.0,24.0,0,120000,5,120.0
10014111001,13776.0,574.0,24.0,0,120000,8,192.0
10014112001,19251.0,1604.3,12.0,0,120000,6,72.0
10014113001,13776.0,574.0,24.0,0,120000,8,192.0
10014117001,27216.0,1134.0,24.0,0,120000,4,96.0
10014119001,19926.0,830.3,24.0,0,120000,6,144.0
10014123001,20664.0,861.0,24.0,0,120000,5,120.0
10014126001,14391.0,599.6,24.0,0,120000,8,192.0
10014127001,20664.0,861.0,24.0,0,120000,5,120.0
10014130001,18360.0,765.0,24.0,0,120000,6,144.0
10014132001,28224.0,1176.0,24.0,0,120000,4,96.0
10014212001,21384.0,1782.0,12.0,0,120000,5,60.0
10014214001,21384.0,3564.0,6.0,0,120000,5,30.0
10014898001,23760.0,990.0,24.0,0,120000,5,120.0
10014905001,15725.0,655.2,24.0,0,120000,7,168.0
10015005001,23712.0,988.0,24.0,0,120000,5,120.0
10015007001,10164.0,423.5,24.0,0,120000,11,264.0
10015008001,34048.0,2837.3,12.0,0,120000,3,36.0
10015010001,7700.0,320.8,24.0,0,120000,15,360.0
10015011001,7480.0,311.7,24.0,0,120000,16,384.0
10016002001,13824.0,576.0,24.0,0,120000,8,192.0
10016006001,8320.0,346.7,24.0,0,120000,14,336.0
10016011001,12960.0,540.0,24.0,0,120000,9,216.0
10016014001,14040.0,585.0,24.0,0,120000,8,192.0
10016015001,7700.0,320.8,24.0,0,120000,15,360.0
10016018001,28700.0,1195.8,24.0,0,120000,4,96.0
10016020001,28700.0,1195.8,24.0,0,120000,4,96.0
10016021001,10692.0,356.4,30.0,0,120000,11,330.0
10020002001,10640.0,443.3,24.0,0,120000,11,264.0
10020003001,10800.0,450.0,24.0,0,120000,11,264.0
10020004001,9438.0,393.3,24.0,0,120000,12,288.0
10020006001,10800.0,450.0,24.0,0,120000,11,264.0
10020007001,10800.0,450.0,24.0,0,120000,11,264.0
10020008001,25520.0,1063.3,24.0,0,120000,4,96.0
10020010001,25520.0,1063.3,24.0,0,120000,4,96.0
10020011001,8160.0,340.0,24.0,0,120000,14,336.0
10020012001,10800.0,450.0,24.0,0,120000,11,264.0
10020015001,10800.0,450.0,24.0,0,120000,11,264.0
10020016001,24360.0,1015.0,24.0,0,120000,4,96.0
10020017001,10800.0,450.0,24.0,0,120000,11,264.0
10020018001,10800.0,450.0,24.0,0,120000,11,264.0
10020019001,9438.0,393.3,24.0,0,120000,12,288.0
10020020001,10640.0,443.3,24.0,0,120000,11,264.0
10020024001,9438.0,393.3,24.0,0,120000,12,288.0
10020025001,9438.0,393.3,24.0,0,120000,12,288.0
10020027001,10920.0,455.0,24.0,0,120000,10,240.0
10020028001,15498.0,645.8,24.0,0,120000,7,168.0
10020029001,10080.0,420.0,24.0,0,120000,11,264.0
10020030001,23520.0,980.0,24.0,0,120000,5,120.0
10020032001,11200.0,466.7,24.0,0,120000,10,240.0
10020033001,14040.0,585.0,24.0,0,120000,8,192.0
10020034001,9800.0,408.3,24.0,0,120000,12,288.0
10020036001,26568.0,1107.0,24.0,0,120000,4,96.0
10020037001,9801.0,326.7,30.0,0,120000,12,360.0
10020038001,10800.0,450.0,24.0,0,120000,11,264.0
10020039001,9801.0,326.7,30.0,0,120000,12,360.0
10020040001,9801.0,326.7,30.0,0,120000,12,360.0
10020041001,9801.0,326.7,30.0,0,120000,12,360.0
10020042001,25461.0,1060.9,24.0,0,120000,4,96.0
10020043001,11200.0,466.7,24.0,0,120000,10,240.0
10020046001,8712.0,363.0,24.0,0,120000,13,312.0
10020093001,18368.0,765.3,24.0,0,120000,6,144.0
10020094001,18368.0,765.3,24.0,0,120000,6,144.0
10020101001,24244.0,1010.2,24.0,0,120000,4,96.0
10020102001,24244.0,1010.2,24.0,0,120000,4,96.0
10021001001,11480.0,478.3,24.0,0,120000,10,240.0
10021003001,12792.0,533.0,24.0,0,120000,9,216.0
10021005001,14391.0,599.6,24.0,0,120000,8,192.0
10021006001,28224.0,1176.0,24.0,0,120000,4,96.0
10021007001,35264.0,2938.7,12.0,0,120000,3,36.0
10021008001,7700.0,320.8,24.0,0,120000,15,360.0
10021009001,32984.0,2748.7,12.0,0,120000,3,36.0
10021010001,28224.0,1176.0,24.0,0,120000,4,96.0
10021012001,14391.0,599.6,24.0,0,120000,8,192.0
10021015001,29928.0,1247.0,24.0,0,120000,4,96.0
10021016001,29928.0,1247.0,24.0,0,120000,4,96.0
10021017001,25760.0,1073.3,24.0,0,120000,4,96.0
10021018001,17424.0,1452.0,12.0,0,120000,6,72.0
10021019001,7700.0,320.8,24.0,0,120000,15,360.0
10021021001,18772.0,782.2,24.0,0,120000,6,144.0
10021022001,19152.0,1596.0,12.0,0,120000,6,72.0
10021023001,28681.0,1195.0,24.0,0,120000,4,96.0
10021025001,9100.0,379.2,24.0,0,120000,13,312.0
10021026001,34944.0,2912.0,12.0,0,120000,3,36.0
10021027001,10800.0,450.0,24.0,0,120000,11,264.0
10021034001,17556.0,1463.0,12.0,0,120000,6,72.0
10021035001,7480.0,1870.0,4.0,0,120000,16,64.0
10021040001,28971.0,2414.3,12.0,0,120000,4,48.0
10021042001,26404.0,1100.2,24.0,0,120000,4,96.0
10022003001,14688.0,612.0,24.0,0,120000,8,192.0
10022004001,10890.0,453.8,24.0,0,120000,11,264.0
10022006001,9856.0,410.7,24.0,0,120000,12,288.0
10022007001,12075.0,503.1,24.0,0,120000,9,216.0
10022008001,11264.0,469.3,24.0,0,120000,10,240.0
10022009001,12512.0,2085.3,6.0,0,120000,9,54.0
10022010001,15428.0,321.4,48.0,0,120000,7,336.0
10022011001,10164.0,1694.0,6.0,0,120000,11,66.0
10022012001,11616.0,484.0,24.0,0,120000,10,240.0
10022014001,10164.0,1694.0,6.0,0,120000,11,66.0
10022015001,28700.0,1195.8,24.0,0,120000,4,96.0
10022016001,11385.0,474.4,24.0,0,120000,10,240.0
10022020001,14688.0,612.0,24.0,0,120000,8,192.0
10022024001,9920.0,413.3,24.0,0,120000,12,288.0
10022030001,10164.0,423.5,24.0,0,120000,11,264.0
10022908001,14688.0,612.0,24.0,0,120000,8,192.0
10022910001,14688.0,612.0,24.0,0,120000,8,192.0
10022915001,10164.0,423.5,24.0,0,120000,11,264.0
10022916001,9856.0,410.7,24.0,0,120000,12,288.0
10022918001,9856.0,410.7,24.0,0,120000,12,288.0
10023002001,35840.0,8960.0,4.0,0,120000,3,12.0
10023003001,14322.0,1193.5,12.0,0,120000,8,96.0
10023004001,14280.0,595.0,24.0,0,120000,8,192.0
10023005001,38258.0,7651.6,5.0,0,120000,3,15.0
10023008001,33264.0,8316.0,4.0,0,120000,3,12.0
10023011001,10800.0,1800.0,6.0,0,120000,11,66.0
10023017001,30960.0,5160.0,6.0,0,120000,3,18.0
10023020001,64380.0,5365.0,12.0,0,120000,1,12.0
10023023001,30780.0,5130.0,6.0,0,120000,3,18.0
10023025001,23560.0,7853.3,3.0,0,120000,5,15.0
10023027001,36960.0,9240.0,4.0,0,120000,3,12.0
10023029001,36960.0,9240.0,4.0,0,120000,3,12.0
10023031001,22500.0,3750.0,6.0,0,120000,5,30.0
10023032001,32900.0,5483.3,6.0,0,120000,3,18.0
10023035001,27552.0,1148.0,24.0,0,120000,4,96.0
10023037001,27552.0,1148.0,24.0,0,120000,4,96.0
10023038001,25920.0,1080.0,24.0,0,120000,4,96.0
10023041001,19266.0,802.8,24.0,0,120000,6,144.0
10023043001,43512.0,5439.0,8.0,0,120000,2,16.0
10023044001,35840.0,8960.0,4.0,0,120000,3,12.0
10023049001,23680.0,7893.3,3.0,0,120000,5,15.0
10023051001,40020.0,10005.0,4.0,0,120000,2,8.0
10023054001,17550.0,5850.0,3.0,0,120000,6,18.0
10023055001,31122.0,7780.5,4.0,0,120000,3,12.0
10023058001,23520.0,5880.0,4.0,0,120000,5,20.0
10023061001,11664.0,1944.0,6.0,0,120000,10,60.0
10023063001,25641.0,8547.0,3.0,0,120000,4,12.0
10023064001,15900.0,2650.0,6.0,0,120000,7,42.0
10023066001,31680.0,7920.0,4.0,0,120000,3,12.0
10023068001,29526.0,7381.5,4.0,0,120000,4,16.0
10023073001,10416.0,1736.0,6.0,0,120000,11,66.0
10023075001,19065.0,3177.5,6.0,0,120000,6,36.0
10023078001,22620.0,5655.0,4.0,0,120000,5,20.0
10023079001,32472.0,5412.0,6.0,0,120000,3,18.0
10023080001,11664.0,1944.0,6.0,0,120000,10,60.0
10023083001,21000.0,3500.0,6.0,0,120000,5,30.0
10023087001,15300.0,1912.5,8.0,0,120000,7,56.0
10023093001,29304.0,2442.0,12.0,0,120000,4,48.0
10023100001,21855.0,3642.5,6.0,0,120000,5,30.0
10023102001,38016.0,6336.0,6.0,0,120000,3,18.0
10023103001,58900.0,2945.0,20.0,0,120000,2,40.0
10023104001,34048.0,3404.8,10.0,0,120000,3,30.0
10023106001,18480.0,4620.0,4.0,0,120000,6,24.0
10023107001,24300.0,6075.0,4.0,0,120000,4,16.0
10023110001,15900.0,2650.0,6.0,0,120000,7,42.0
10023114001,68400.0,5700.0,12.0,0,120000,1,12.0
10023124001,37444.0,7488.8,5.0,0,120000,3,15.0
10023892001,36480.0,9120.0,4.0,0,120000,3,12.0
10023991001,25575.0,4262.5,6.0,0,120000,4,24.0
10023998001,22080.0,3680.0,6.0,0,120000,5,30.0
10023999001,43792.0,3981.1,11.0,0,120000,2,22.0
10024001001,14040.0,585.0,24.0,0,120000,8,192.0
10024003001,35264.0,2938.7,12.0,0,120000,3,36.0
10024004001,5280.0,220.0,24.0,0,120000,22,528.0
10024005001,14040.0,585.0,24.0,0,120000,8,192.0
10024006001,14040.0,585.0,24.0,0,120000,8,192.0
10024007001,5280.0,220.0,24.0,0,120000,22,528.0
10024010001,13284.0,553.5,24.0,0,120000,9,216.0
10024011001,24969.0,1040.4,24.0,0,120000,4,96.0
10024014001,24336.0,1014.0,24.0,0,120000,4,96.0
10024900001,12474.0,415.8,30.0,0,120000,9,270.0
10030001001,34048.0,2837.3,12.0,0,120000,3,36.0
10030003001,29232.0,1218.0,24.0,0,120000,4,96.0
10030005001,34048.0,2837.3,12.0,0,120000,3,36.0
10030007001,22800.0,950.0,24.0,0,120000,5,120.0
10030008001,20520.0,855.0,24.0,0,120000,5,120.0
10030011001,25920.0,1080.0,24.0,0,120000,4,96.0
10030012001,26040.0,3255.0,8.0,0,120000,4,32.0
10030013001,7700.0,320.8,24.0,0,120000,15,360.0
10030014001,26568.0,1107.0,24.0,0,120000,4,96.0
10030015001,26568.0,1107.0,24.0,0,120000,4,96.0
10030016001,25461.0,1060.9,24.0,0,120000,4,96.0
10030017001,28210.0,2350.8,12.0,0,120000,4,48.0
10030018001,24738.0,3092.3,8.0,0,120000,4,32.0
10030019001,27552.0,1148.0,24.0,0,120000,4,96.0
10030020001,19360.0,1613.3,12.0,0,120000,6,72.0
10030021001,29928.0,1247.0,24.0,0,120000,4,96.0
10030022001,24840.0,1035.0,24.0,0,120000,4,96.0
10030023001,10800.0,10800.0,1.0,0,120000,11,11.0
10030030001,28210.0,2350.8,12.0,0,120000,4,48.0
10030045001,27048.0,1127.0,24.0,0,120000,4,96.0
10030046001,28896.0,1204.0,24.0,0,120000,4,96.0
10030048001,22800.0,950.0,24.0,0,120000,5,120.0
10030049001,28210.0,2350.8,12.0,0,120000,4,48.0
10031001001,7700.0,320.8,24.0,0,120000,15,360.0
10031003001,20350.0,847.9,24.0,0,120000,5,120.0
10031004001,28224.0,1176.0,24.0,0,120000,4,96.0
10031005001,7700.0,320.8,24.0,0,120000,15,360.0
10031006001,26568.0,1107.0,24.0,0,120000,4,96.0
10031007001,26568.0,1107.0,24.0,0,120000,4,96.0
10031009001,28700.0,1195.8,24.0,0,120000,4,96.0
10031011001,29295.0,2441.3,12.0,0,120000,4,48.0
10031012001,29928.0,1247.0,24.0,0,120000,4,96.0
10031013001,11200.0,466.7,24.0,0,120000,10,240.0
10031015001,26568.0,1107.0,24.0,0,120000,4,96.0
10031016001,7480.0,311.7,24.0,0,120000,16,384.0
10031017001,9555.0,398.1,24.0,0,120000,12,288.0
10031019001,25461.0,1060.9,24.0,0,120000,4,96.0
10031021001,11025.0,459.4,24.0,0,120000,10,240.0
10031022001,27552.0,1148.0,24.0,0,120000,4,96.0
10031023001,27864.0,1161.0,24.0,0,120000,4,96.0
10031025001,31175.0,1299.0,24.0,0,120000,3,72.0
10031026001,28350.0,2362.5,12.0,0,120000,4,48.0
10031030001,27048.0,1127.0,24.0,0,120000,4,96.0
10031031001,8820.0,367.5,24.0,0,120000,13,312.0
10031033001,22200.0,925.0,24.0,0,120000,5,120.0
10031899001,19456.0,2432.0,8.0,0,120000,6,48.0
10031901001,28210.0,2350.8,12.0,0,120000,4,48.0
10031902001,30960.0,1290.0,24.0,0,120000,3,72.0
10031909001,22724.0,946.8,24.0,0,120000,5,120.0
10031910001,7700.0,320.8,24.0,0,120000,15,360.0
10031911001,8820.0,367.5,24.0,0,120000,13,312.0
10031916001,12180.0,12180.0,1.0,0,120000,9,9.0
10032001001,26460.0,2205.0,12.0,0,120000,4,48.0
10032003001,10500.0,437.5,24.0,0,120000,11,264.0
10032004001,20350.0,847.9,24.0,0,120000,5,120.0
10032005001,10500.0,437.5,24.0,0,120000,11,264.0
10032006001,7480.0,311.7,24.0,0,120000,16,384.0
10032007001,28896.0,1204.0,24.0,0,120000,4,96.0
10032008001,7480.0,311.7,24.0,0,120000,16,384.0
10032010001,7480.0,311.7,24.0,0,120000,16,384.0
10032011001,8400.0,350.0,24.0,0,120000,14,336.0
10032013001,11200.0,466.7,24.0,0,120000,10,240.0
10032014001,25920.0,1080.0,24.0,0,120000,4,96.0
10032015001,26568.0,1107.0,24.0,0,120000,4,96.0
10032016001,7700.0,320.8,24.0,0,120000,15,360.0
10032019001,7700.0,320.8,24.0,0,120000,15,360.0
10032020001,24108.0,1004.5,24.0,0,120000,4,96.0
10032023001,9555.0,398.1,24.0,0,120000,12,288.0
10032046001,7872.0,328.0,24.0,0,120000,15,360.0
10032047001,8400.0,350.0,24.0,0,120000,14,336.0
10032048001,28224.0,1176.0,24.0,0,120000,4,96.0
10032049001,8820.0,367.5,24.0,0,120000,13,312.0
10032052001,32560.0,1356.7,24.0,0,120000,3,72.0
10032054001,11025.0,459.4,24.0,0,120000,10,240.0
10032055001,9800.0,408.3,24.0,0,120000,12,288.0
10032059001,22800.0,950.0,24.0,0,120000,5,120.0
10032064001,7480.0,311.7,24.0,0,120000,16,384.0
10032081001,24108.0,1004.5,24.0,0,120000,4,96.0
10033001001,20520.0,855.0,24.0,0,120000,5,120.0
10033002001,28210.0,2350.8,12.0,0,120000,4,48.0
10033003001,29232.0,1218.0,24.0,0,120000,4,96.0
10033004001,22200.0,925.0,24.0,0,120000,5,120.0
10033005001,7700.0,320.8,24.0,0,120000,15,360.0
10033006001,26040.0,3255.0,8.0,0,120000,4,32.0
10033010001,28210.0,2350.8,12.0,0,120000,4,48.0
10033011001,29232.0,1218.0,24.0,0,120000,4,96.0
10033012001,27552.0,1148.0,24.0,0,120000,4,96.0
10033013001,25920.0,1080.0,24.0,0,120000,4,96.0
10033014001,26568.0,1107.0,24.0,0,120000,4,96.0
10033015001,26880.0,1120.0,24.0,0,120000,4,96.0
10033016001,29016.0,2418.0,12.0,0,120000,4,48.0
10033017001,28210.0,2350.8,12.0,0,120000,4,48.0
10033018001,22200.0,925.0,24.0,0,120000,5,120.0
10033019001,30132.0,2511.0,12.0,0,120000,3,36.0
10033020001,27648.0,3456.0,8.0,0,120000,4,32.0
10033022001,28210.0,2350.8,12.0,0,120000,4,48.0
10033023001,23452.0,977.2,24.0,0,120000,5,120.0
10033025001,7480.0,311.7,24.0,0,120000,16,384.0
10033026001,30132.0,2511.0,12.0,0,120000,3,36.0
10033027001,28224.0,1176.0,24.0,0,120000,4,96.0
10033028001,25920.0,1080.0,24.0,0,120000,4,96.0
10033029001,27552.0,1148.0,24.0,0,120000,4,96.0
10033030001,27552.0,1148.0,24.0,0,120000,4,96.0
10033031001,35264.0,2938.7,12.0,0,120000,3,36.0
10033033001,26400.0,1100.0,24.0,0,120000,4,96.0
10033034001,29295.0,2441.3,12.0,0,120000,4,48.0
10033037001,8085.0,336.9,24.0,0,120000,14,336.0
10033038001,29295.0,2441.3,12.0,0,120000,4,48.0
10033041001,24336.0,1014.0,24.0,0,120000,4,96.0
10033043001,26568.0,1107.0,24.0,0,120000,4,96.0
10033044001,24955.0,3119.4,8.0,0,120000,4,32.0
10033046001,28224.0,1176.0,24.0,0,120000,4,96.0
10033048001,28896.0,1204.0,24.0,0,120000,4,96.0
10033049001,24955.0,3119.4,8.0,0,120000,4,32.0
10033050001,22800.0,950.0,24.0,0,120000,5,120.0
10033052001,26488.0,1103.7,24.0,0,120000,4,96.0
10033053001,25916.0,3239.5,8.0,0,120000,4,32.0
10033054001,27552.0,1148.0,24.0,0,120000,4,96.0
10033056001,25920.0,1080.0,24.0,0,120000,4,96.0
10033057001,24840.0,1035.0,24.0,0,120000,4,96.0
10033062001,28224.0,1176.0,24.0,0,120000,4,96.0
10033064001,11200.0,466.7,24.0,0,120000,10,240.0
10033065001,28210.0,2350.8,12.0,0,120000,4,48.0
10033066001,25920.0,1080.0,24.0,0,120000,4,96.0
10033068001,7700.0,320.8,24.0,0,120000,15,360.0
10033070001,28224.0,1176.0,24.0,0,120000,4,96.0
10033073001,32116.0,2676.3,12.0,0,120000,3,36.0
10033074001,28224.0,1176.0,24.0,0,120000,4,96.0
10033075001,25296.0,3162.0,8.0,0,120000,4,32.0
10033082001,22032.0,918.0,24.0,0,120000,5,120.0
10034002001,29232.0,1218.0,24.0,0,120000,4,96.0
10034003001,7480.0,311.7,24.0,0,120000,16,384.0
10034004001,7480.0,311.7,24.0,0,120000,16,384.0
