item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_weight,item_unit,item_pod_inventory_level,item_warehouse_inventory_level
19,10040072001,0,1,5,42.0,28.0,23.0,27048.0,14.07,24.0,1127.0,0.586,PCS,0.6,0.5
20,10040080001,0,1,4,36.0,30.0,21.0,22680.0,11.2,20.0,1134.0,0.56,PCS,0.6,0.5
21,10040089001,0,1,4,35.0,29.0,20.0,20300.0,13.2,20.0,1015.0,0.66,PCS,0.6,0.5
22,10041036001,0,1,5,42.0,28.0,25.0,29400.0,13.3,24.0,1225.0,0.554,PCS,0.6,0.5
23,10041076001,0,1,0,41.0,28.0,13.0,14924.0,9.15,24.0,621.8,0.381,PCS,0.6,0.5
24,10041087001,0,1,5,42.0,28.0,23.0,27048.0,14.0,24.0,1127.0,0.583,PCS,0.6,0.5
25,10052046001,0,1,0,26.0,20.0,26.0,13520.0,9.5,12.0,1126.7,0.792,PCS,0.6,0.5
26,10053903001,0,2,3,42.0,26.0,19.0,20748.0,6.2,36.0,576.3,0.172,PCS,0.6,0.5
27,11010001001,0,2,2,38.0,25.0,29.0,27550.0,14.08,6.0,4591.7,2.347,PCS,0.6,0.5
28,11010005001,0,2,0,36.0,33.0,32.0,38016.0,12.1,6.0,6336.0,2.017,PCS,0.6,0.5
29,11020001001,0,2,1,41.0,21.0,30.0,25830.0,11.6,14.0,1845.0,0.829,PCS,0.6,0.5
30,11021026001,0,7,5,37.0,25.0,33.0,30525.0,16.48,4.0,7631.3,4.12,PCS,0.6,0.5
31,11021051002,0,1,0,26.0,18.0,23.0,10764.0,2.39,6.0,1794.0,0.398,PCS,0.6,0.5
32,11021095001,0,1,0,34.0,23.0,23.0,17986.0,4.47,6.0,2997.7,0.745,PCS,0.6,0.5
33,11030062001,0,3,2,26.0,20.0,9.0,4680.0,2.21,12.0,390.0,0.184,PCS,0.6,0.5
34,11031027001,0,1,0,29.0,29.0,24.0,20184.0,5.32,12.0,1682.0,0.443,PCS,0.6,0.5
35,11032225001,0,1,0,32.0,15.0,13.0,6240.0,1.45,20.0,312.0,0.072,PCS,0.6,0.5
36,11032227001,0,2,0,32.0,15.0,13.0,6240.0,1.525,20.0,312.0,0.076,PCS,0.6,0.5
37,11032229001,0,1,2,44.0,26.0,18.0,20592.0,5.68,12.0,1716.0,0.473,PCS,0.6,0.5
38,11040004001,0,2,2,28.0,25.0,27.0,18900.0,10.21,12.0,1575.0,0.851,PCS,0.6,0.5
39,11041024001,0,6,5,26.0,18.0,21.0,9828.0,2.0,12.0,819.0,0.167,PCS,0.6,0.5
40,11050006001,0,3,8,28.0,27.0,20.0,15120.0,8.15,12.0,1260.0,0.679,PCS,0.6,0.5
41,11050050001,0,1,0,30.0,19.0,20.0,11400.0,6.75,12.0,950.0,0.562,PCS,0.6,0.5
42,11050055001,0,1,0,39.0,29.0,27.0,30537.0,12.8,12.0,2544.8,1.067,PCS,0.6,0.5
43,11050062001,0,2,1,43.0,23.0,26.0,25714.0,13.65,12.0,2142.8,1.138,PCS,0.6,0.5
44,11050065001,0,2,1,35.0,28.0,29.0,28420.0,9.5,12.0,2368.3,0.792,PCS,0.6,0.5
45,11050073001,0,2,1,41.0,24.0,26.0,25584.0,13.081,12.0,2132.0,1.09,PCS,0.6,0.5
46,11050091001,0,1,0,38.0,19.0,28.0,20216.0,10.15,12.0,1684.7,0.846,PCS,0.6,0.5
47,11050097001,0,2,0,40.0,24.0,32.0,30720.0,16.54,4.0,7680.0,4.135,PCS,0.6,0.5
48,11050111001,0,1,1,42.0,23.0,26.0,25116.0,13.34,12.0,2093.0,1.112,PCS,0.6,0.5
49,11050134001,0,1,0,27.0,20.0,31.0,16740.0,8.91,8.0,2092.5,1.114,PCS,0.6,0.5
50,11051016001,0,1,0,43.0,34.0,18.0,26316.0,10.9,12.0,2193.0,0.908,PCS,0.6,0.5
51,11051057001,0,1,0,33.0,25.0,15.0,12375.0,6.64,12.0,1031.3,0.553,PCS,0.6,0.5
52,11051899001,0,1,0,46.0,24.0,19.0,20976.0,8.14,12.0,1748.0,0.678,PCS,0.6,0.5
53,11061024001,0,1,0,41.0,27.0,18.0,19926.0,1.59,30.0,664.2,0.053,PCS,0.6,0.5
54,11061033001,0,1,0,40.0,15.0,12.0,7200.0,1.3,19.0,378.9,0.068,PCS,0.6,0.5
55,11061055001,0,3,1,42.0,38.0,30.0,47880.0,1.67,24.0,1995.0,0.07,PCS,0.6,0.5
56,11062002001,0,1,0,51.0,45.0,21.0,48195.0,3.89,30.0,1606.5,0.13,PCS,0.6,0.5
57,11062017001,0,1,0,37.0,36.0,27.0,35964.0,2.0,36.0,999.0,0.056,PCS,0.6,0.5
58,11070012001,0,3,3,44.0,29.0,28.0,35728.0,14.0,24.0,1488.7,0.583,PCS,0.6,0.5
59,11070040001,0,1,1,43.0,39.0,26.0,43602.0,12.23,24.0,1816.8,0.51,PCS,0.6,0.5
60,11070063001,0,2,1,43.0,28.0,28.0,33712.0,13.126,24.0,1404.7,0.547,PCS,0.6,0.5
61,11071035001,0,5,2,53.0,45.0,21.0,50085.0,8.86,24.0,2086.9,0.369,PCS,0.6,0.5
62,11072004001,0,1,0,32.0,30.0,16.0,15360.0,2.99,12.0,1280.0,0.249,PCS,0.6,0.5
63,11072011001,0,1,3,59.0,44.0,23.0,59708.0,14.9,24.0,2487.8,0.621,PCS,0.6,0.5
64,11072033001,0,1,0,57.0,44.0,18.0,45144.0,14.5,12.0,3762.0,1.208,PCS,0.6,0.5
65,11073032001,0,1,0,41.0,26.0,15.0,15990.0,6.0,24.0,666.3,0.25,PCS,0.6,0.5
66,11074060002,0,1,1,22.0,24.0,11.0,5808.0,0.7,10.0,580.8,0.07,PCS,0.6,0.5
67,11074060005,0,3,2,24.0,22.0,11.0,5808.0,0.63,10.0,580.8,0.063,PCS,0.6,0.5
68,11075006001,0,1,0,48.0,23.0,19.0,20976.0,5.93,24.0,874.0,0.247,PCS,0.6,0.5
69,11075012001,0,1,0,32.0,27.0,14.0,12096.0,4.2,12.0,1008.0,0.35,PCS,0.6,0.5
70,11100107001,0,4,2,39.0,31.0,27.0,32643.0,19.136,4.0,8160.8,4.784,PCS,0.6,0.5
71,11101009001,0,1,1,52.0,41.0,22.0,46904.0,20.1,12.0,3908.7,1.675,PCS,0.6,0.5
72,11103011003,0,1,0,53.0,32.0,15.0,25440.0,11.68,6.0,4240.0,1.947,PCS,0.6,0.5
73,11103092001,0,2,1,38.0,30.0,30.0,34200.0,10.4,6.0,5700.0,1.733,PCS,0.6,0.5
74,11103110001,0,1,0,39.0,25.0,30.0,29250.0,10.56,6.0,4875.0,1.76,PCS,0.6,0.5
75,11103112001,0,5,3,46.0,22.0,33.0,33396.0,12.15,4.0,8349.0,3.038,PCS,0.6,0.5
76,11103115001,0,5,2,46.0,22.0,33.0,33396.0,12.17,4.0,8349.0,3.042,PCS,0.6,0.5
77,11103130001,0,2,1,40.0,29.0,32.0,37120.0,17.1,8.0,4640.0,2.138,PCS,0.6,0.5
78,11103187001,0,1,1,31.0,30.0,28.0,26040.0,10.61,6.0,4340.0,1.768,PCS,0.6,0.5
79,11103196001,0,4,2,38.0,31.0,32.0,37696.0,16.21,6.0,6282.7,2.702,PCS,0.6,0.5
80,11103203001,0,2,1,35.0,26.0,31.0,28210.0,7.01,8.0,3526.3,0.876,PCS,0.6,0.5
81,11103388001,0,1,0,39.0,30.0,14.0,16380.0,2.646,6.0,2730.0,0.441,PCS,0.6,0.5
82,11110026001,0,2,1,41.0,27.0,31.0,34317.0,14.19,4.0,8579.3,3.548,PCS,0.6,0.5
83,11110031002,0,1,1,35.0,26.0,28.0,25480.0,10.58,16.0,1592.5,0.661,PCS,0.6,0.5
84,11110032001,0,1,1,36.0,34.0,33.0,40392.0,12.4,6.0,6732.0,2.067,PCS,0.6,0.5
85,11110045001,0,3,1,33.0,24.0,26.0,20592.0,12.91,8.0,2574.0,1.614,PCS,0.6,0.5
86,11110056001,0,5,1,36.0,26.0,25.0,23400.0,4.59,6.0,3900.0,0.765,PCS,0.6,0.5
87,11110092001,0,7,2,39.0,26.0,32.0,32448.0,14.13,4.0,8112.0,3.532,PCS,0.6,0.5
88,11110100001,0,1,0,29.0,22.0,30.0,19140.0,10.05,8.0,2392.5,1.256,PCS,0.6,0.5
89,11110101001,0,1,0,29.0,22.0,30.0,19140.0,10.05,8.0,2392.5,1.256,PCS,0.6,0.5
90,11111023001,0,1,1,26.0,18.0,26.0,12168.0,6.7,6.0,2028.0,1.117,PCS,0.6,0.5
91,11112015001,0,1,0,34.0,28.0,26.0,24752.0,6.67,12.0,2062.7,0.556,PCS,0.6,0.5
92,12000036001,0,1,1,26.0,22.0,23.0,13156.0,7.003,6.0,2192.7,1.167,PCS,0.6,0.5
93,12000064001,0,1,0,33.0,26.0,22.0,18876.0,7.526,12.0,1573.0,0.627,PCS,0.6,0.5
94,12000090001,0,1,0,28.0,22.0,25.0,15400.0,7.5,12.0,1283.3,0.625,PCS,0.6,0.5
95,12000092001,0,1,0,28.0,19.0,23.0,12236.0,6.6,12.0,1019.7,0.55,PCS,0.6,0.5
96,12000100001,0,4,2,39.0,21.0,24.0,19656.0,8.14,12.0,1638.0,0.678,PCS,0.6,0.5
97,12000146001,0,2,0,26.0,22.0,23.0,13156.0,6.98,6.0,2192.7,1.163,PCS,0.6,0.5
98,12000159001,0,1,0,23.0,16.0,20.0,7360.0,3.4,6.0,1226.7,0.567,PCS,0.6,0.5
99,12000166001,0,1,0,23.0,16.0,23.0,8464.0,3.45,6.0,1410.7,0.575,PCS,0.6,0.5
100,12000191001,0,5,2,29.0,22.0,28.0,17864.0,8.39,12.0,1488.7,0.699,PCS,0.6,0.5
101,12000205001,0,6,2,29.0,17.0,25.0,12325.0,4.89,6.0,2054.2,0.815,PCS,0.6,0.5
102,12000233001,0,1,0,22.0,16.0,22.0,7744.0,3.48,6.0,1290.7,0.58,PCS,0.6,0.5
103,12000260001,0,5,1,23.0,16.0,23.0,8464.0,3.45,6.0,1410.7,0.575,PCS,0.6,0.5
104,12000262001,0,2,1,39.0,22.0,25.0,21450.0,11.12,12.0,1787.5,0.927,PCS,0.6,0.5
105,12000480001,0,4,1,29.0,17.0,25.0,12325.0,4.93,6.0,2054.2,0.822,PCS,0.6,0.5
106,12001010001,0,1,1,23.0,9.0,23.0,4761.0,2.74,6.0,793.5,0.457,PCS,0.6,0.5
107,12001015001,0,1,0,31.0,22.0,26.0,17732.0,8.074,9.0,1970.2,0.897,PCS,0.6,0.5
108,12001067001,0,2,1,29.0,7.0,16.0,3248.0,1.56,6.0,541.3,0.26,PCS,0.6,0.5
109,12001076001,0,1,0,29.0,17.0,25.0,12325.0,5.18,6.0,2054.2,0.863,PCS,0.6,0.5
110,12001114001,0,1,1,26.0,25.0,23.0,14950.0,6.82,12.0,1245.8,0.568,PCS,0.6,0.5
111,12002002001,0,1,0,31.0,23.0,28.0,19964.0,8.24,9.0,2218.2,0.916,PCS,0.6,0.5
112,12002090001,0,1,0,23.0,16.0,20.0,7360.0,3.4,6.0,1226.7,0.567,PCS,0.6,0.5
113,12002127001,0,1,0,27.0,16.0,17.0,7344.0,1.88,12.0,612.0,0.157,PCS,0.6,0.5
114,12002948001,0,3,2,27.0,20.0,22.0,11880.0,5.0,9.0,1320.0,0.556,PCS,0.6,0.5
115,12003003001,0,1,1,40.0,26.0,20.0,20800.0,6.12,36.0,577.8,0.17,PCS,0.6,0.5
116,12003063001,0,1,0,39.0,22.0,23.0,19734.0,7.2,12.0,1644.5,0.6,PCS,0.6,0.5
117,12003064001,0,1,0,23.0,17.0,23.0,8993.0,2.65,12.0,749.4,0.221,PCS,0.6,0.5
118,12003086001,0,1,2,17.0,6.0,14.0,1428.0,0.54,3.0,476.0,0.18,PCS,0.6,0.5
119,12003104001,0,2,0,34.0,21.0,23.0,16422.0,6.7,12.0,1368.5,0.558,PCS,0.6,0.5
120,12003120001,0,2,0,21.0,18.0,10.0,3780.0,1.076,6.0,630.0,0.179,PCS,0.6,0.5
121,12004046001,0,1,0,19.0,14.0,20.0,5320.0,2.48,12.0,443.3,0.207,PCS,0.6,0.5
122,12004053001,0,1,0,20.0,18.0,6.0,2160.0,1.2,3.0,720.0,0.4,PCS,0.6,0.5
123,12004218001,0,1,0,23.0,18.0,28.0,11592.0,3.87,12.0,966.0,0.322,PCS,0.6,0.5
124,12005015006,0,1,0,30.0,23.0,18.0,12420.0,3.0,12.0,1035.0,0.25,PCS,0.6,0.5
125,12005072003,0,1,0,32.0,20.0,20.0,12800.0,2.8,12.0,1066.7,0.233,PCS,0.6,0.5
126,12005082003,0,3,1,20.0,8.0,19.0,3040.0,0.6,3.0,1013.3,0.2,PCS,0.6,0.5
127,12005084001,0,1,0,15.0,9.0,16.0,2160.0,0.3,3.0,720.0,0.1,PCS,0.6,0.5
128,12005084002,0,1,0,15.0,9.0,16.0,2160.0,0.3,3.0,720.0,0.1,PCS,0.6,0.5
129,12005089004,0,1,0,42.0,34.0,20.0,28560.0,5.59,12.0,2380.0,0.466,PCS,0.6,0.5
130,12005092002,0,1,0,34.0,21.0,26.0,18564.0,2.66,8.0,2320.5,0.332,PCS,0.6,0.5
131,12005108003,0,2,2,31.0,27.0,18.0,15066.0,3.3,12.0,1255.5,0.275,PCS,0.6,0.5
132,12005108006,0,1,0,31.0,27.0,18.0,15066.0,3.3,12.0,1255.5,0.275,PCS,0.6,0.5
133,12006020001,0,1,1,26.0,24.0,2.0,1248.0,0.39,12.0,104.0,0.032,PCS,0.6,0.5
134,12006067001,0,1,0,38.0,25.0,6.0,5700.0,0.712,6.0,950.0,0.119,PCS,0.6,0.5
135,12006135001,0,1,0,38.0,24.0,5.0,4560.0,0.6,6.0,760.0,0.1,PCS,0.6,0.5
136,12010058001,0,1,2,39.0,34.0,13.0,17238.0,8.52,72.0,239.4,0.118,PCS,0.6,0.5
137,12010097001,0,1,1,19.0,18.0,11.0,3762.0,2.0,12.0,313.5,0.167,PCS,0.6,0.5
138,12010122001,0,1,0,36.0,26.0,22.0,20592.0,7.5,12.0,1716.0,0.625,PCS,0.6,0.5
139,12010147001,0,1,0,35.0,23.0,12.0,9660.0,4.64,12.0,805.0,0.387,PCS,0.6,0.5
140,12010149001,0,2,1,35.0,23.0,12.0,9660.0,4.64,12.0,805.0,0.387,PCS,0.6,0.5
141,12010180001,0,1,0,23.0,16.0,21.0,7728.0,3.85,12.0,644.0,0.321,PCS,0.6,0.5
142,12010214001,0,1,0,46.0,34.0,25.0,39100.0,37.25,24.0,1629.2,1.552,PCS,0.6,0.5
143,12010254001,0,4,7,41.0,26.0,32.0,34112.0,14.56,144.0,236.9,0.101,PCS,0.6,0.5
144,12011006001,0,1,0,25.0,18.0,23.0,10350.0,4.36,6.0,1725.0,0.727,PCS,0.6,0.5
145,12011011001,0,3,2,37.0,21.0,25.0,19425.0,9.17,12.0,1618.8,0.764,PCS,0.6,0.5
146,12011032001,0,4,1,40.0,19.0,24.0,18240.0,7.084,16.0,1140.0,0.443,PCS,0.6,0.5
147,12011093001,0,1,0,35.0,33.0,27.0,31185.0,13.6,6.0,5197.5,2.267,PCS,0.6,0.5
148,12011098001,0,1,0,40.0,31.0,26.0,32240.0,14.1,12.0,2686.7,1.175,PCS,0.6,0.5
149,12011115001,0,6,4,39.0,26.0,26.0,26364.0,9.2,12.0,2197.0,0.767,PCS,0.6,0.5
150,12011173001,0,1,0,39.0,29.0,28.0,31668.0,14.206,12.0,2639.0,1.184,PCS,0.6,0.5
151,12011198001,0,4,2,31.0,23.0,22.0,15686.0,7.66,12.0,1307.2,0.638,PCS,0.6,0.5
152,12011220001,0,2,1,49.0,29.0,28.0,39788.0,8.6,12.0,3315.7,0.717,PCS,0.6,0.5
153,12011257001,0,5,4,39.0,26.0,28.0,28392.0,10.8,12.0,2366.0,0.9,PCS,0.6,0.5
154,12011292001,0,1,0,42.0,23.0,25.0,24150.0,12.1,12.0,2012.5,1.008,PCS,0.6,0.5
155,12011322001,0,1,0,39.0,26.0,27.0,27378.0,10.446,12.0,2281.5,0.87,PCS,0.6,0.5
156,12011482001,0,2,0,39.0,21.0,27.0,22113.0,10.68,12.0,1842.8,0.89,PCS,0.6,0.5
157,12012045001,0,2,1,27.0,20.0,8.0,4320.0,1.53,6.0,720.0,0.255,PCS,0.6,0.5
158,12012086001,0,1,0,34.0,24.0,25.0,20400.0,4.7,12.0,1700.0,0.392,PCS,0.6,0.5
159,12013050001,0,1,0,26.0,20.0,22.0,11440.0,6.83,12.0,953.3,0.569,PCS,0.6,0.5
160,12013052001,0,1,0,26.0,20.0,22.0,11440.0,6.83,12.0,953.3,0.569,PCS,0.6,0.5
161,12014022001,0,1,0,28.0,25.0,14.0,9800.0,1.46,20.0,490.0,0.073,PCS,0.6,0.5
162,12016026001,0,4,2,23.0,18.0,12.0,4968.0,1.54,18.0,276.0,0.086,PCS,0.6,0.5
163,12016035001,0,1,1,28.0,19.0,18.0,9576.0,3.35,24.0,399.0,0.14,PCS,0.6,0.5
164,12016130001,0,1,1,19.0,14.0,8.0,2128.0,0.9,6.0,354.7,0.15,PCS,0.6,0.5
165,12016999001,0,1,0,31.0,21.0,17.0,11067.0,3.8,24.0,461.1,0.158,PCS,0.6,0.5
166,12017017001,0,2,1,24.0,16.0,22.0,8448.0,1.6,8.0,1056.0,0.2,PCS,0.6,0.5
167,12020018001,0,1,0,26.0,10.0,16.0,4160.0,1.5,6.0,693.3,0.25,PCS,0.6,0.5
168,12020021001,0,1,2,21.0,16.0,19.0,6384.0,1.67,12.0,532.0,0.139,PCS,0.6,0.5
169,12020070001,0,1,1,19.0,16.0,17.0,5168.0,2.448,12.0,430.7,0.204,PCS,0.6,0.5
170,12020101001,0,1,0,26.0,24.0,19.0,11856.0,5.47,24.0,494.0,0.228,PCS,0.6,0.5
171,12020138001,0,1,0,23.0,13.0,20.0,5980.0,2.59,12.0,498.3,0.216,PCS,0.6,0.5
172,12020147001,0,1,2,27.0,16.0,19.0,8208.0,3.12,12.0,684.0,0.26,PCS,0.6,0.5
173,12020184001,0,1,0,25.0,20.0,20.0,10000.0,1.68,12.0,833.3,0.14,PCS,0.6,0.5
174,12020210001,0,1,0,29.0,23.0,19.0,12673.0,2.39,12.0,1056.1,0.199,PCS,0.6,0.5
175,12020212001,0,1,0,20.0,16.0,21.0,6720.0,1.4,6.0,1120.0,0.233,PCS,0.6,0.5
176,12020224001,0,1,0,26.0,17.0,18.0,7956.0,2.3,12.0,663.0,0.192,PCS,0.6,0.5
177,12020266001,0,2,1,20.0,13.0,19.0,4940.0,0.8,6.0,823.3,0.133,PCS,0.6,0.5
178,12020282001,0,2,0,28.0,19.0,24.0,12768.0,1.6,6.0,2128.0,0.267,PCS,0.6,0.5
179,12020328001,0,1,0,15.0,10.0,20.0,3000.0,1.1,6.0,500.0,0.183,PCS,0.6,0.5
180,12020404001,0,1,0,20.0,13.0,20.0,5200.0,1.036,6.0,866.7,0.173,PCS,0.6,0.5
181,12020418001,0,1,0,15.0,10.0,23.0,3450.0,1.164,6.0,575.0,0.194,PCS,0.6,0.5
182,12021069001,0,1,0,14.0,5.0,16.0,1120.0,0.5,3.0,373.3,0.167,PCS,0.6,0.5
183,12021993001,0,1,1,18.0,14.0,18.0,4536.0,1.9,12.0,378.0,0.158,PCS,0.6,0.5
184,12022047001,0,1,0,13.0,6.0,16.0,1248.0,0.58,3.0,416.0,0.193,PCS,0.6,0.5
185,12022070001,0,1,1,26.0,20.0,29.0,15080.0,3.26,16.0,942.5,0.204,PCS,0.6,0.5
186,12022114001,0,1,0,37.0,22.0,20.0,16280.0,3.97,48.0,339.2,0.083,PCS,0.6,0.5
187,12022162001,0,1,1,17.0,12.0,21.0,4284.0,1.3,12.0,357.0,0.108,PCS,0.6,0.5
188,12023094001,0,1,0,34.0,24.0,18.0,14688.0,4.07,12.0,1224.0,0.339,PCS,0.6,0.5
189,12023103001,0,1,0,13.0,7.0,16.0,1456.0,0.73,3.0,485.3,0.243,PCS,0.6,0.5
190,12023273001,0,1,1,15.0,9.0,15.0,2025.0,0.39,10.0,202.5,0.039,PCS,0.6,0.5
191,12023278001,0,1,0,23.0,17.0,20.0,7820.0,2.19,12.0,651.7,0.182,PCS,0.6,0.5
192,12030741001,0,2,0,15.0,2.0,2.0,60.0,0.1,1.0,60.0,0.1,PCS,0.6,0.5
193,12031127001,0,1,0,8.0,6.0,11.0,528.0,0.25,3.0,176.0,0.083,PCS,0.6,0.5
194,12034063001,0,1,0,31.0,14.0,19.0,8246.0,2.45,12.0,687.2,0.204,PCS,0.6,0.5
195,12034088001,0,3,2,13.0,11.0,18.0,2574.0,0.57,6.0,429.0,0.095,PCS,0.6,0.5
196,12100017001,0,1,0,43.0,27.0,26.0,30186.0,10.7,48.0,628.9,0.223,PCS,0.6,0.5
197,12100019001,0,1,0,59.0,25.0,23.0,33925.0,17.276,72.0,471.2,0.24,PCS,0.6,0.5
198,12100054001,0,4,1,27.0,22.0,11.0,6534.0,2.19,12.0,544.5,0.182,PCS,0.6,0.5
199,12101001002,0,1,1,32.0,18.0,18.0,10368.0,2.12,36.0,288.0,0.059,PCS,0.6,0.5
200,12101032001,0,1,0,52.0,37.0,15.0,28860.0,7.2,120.0,240.5,0.06,PCS,0.6,0.5
201,12102021001,0,1,1,38.0,22.0,23.0,19228.0,7.89,48.0,400.6,0.164,PCS,0.6,0.5
202,12102108001,0,1,1,21.0,20.0,13.0,5460.0,1.548,12.0,455.0,0.129,PCS,0.6,0.5
203,12102122001,0,2,1,17.0,17.0,20.0,5780.0,1.6,12.0,481.7,0.133,PCS,0.6,0.5
204,12102999001,0,1,0,23.0,8.0,16.0,2944.0,1.21,10.0,294.4,0.121,PCS,0.6,0.5
205,12103013001,0,1,0,29.0,27.0,11.0,8613.0,1.26,24.0,358.9,0.052,PCS,0.6,0.5
206,12103019001,0,1,0,13.0,8.0,24.0,2496.0,0.356,1.0,2496.0,0.356,PCS,0.6,0.5
207,12103021001,0,1,1,24.0,18.0,23.0,9936.0,1.23,18.0,552.0,0.068,PCS,0.6,0.5
208,12103049001,0,1,1,22.0,5.0,3.0,330.0,0.03,1.0,330.0,0.03,PCS,0.6,0.5
209,12103070001,0,2,1,24.0,13.0,24.0,7488.0,0.85,20.0,374.4,0.042,PCS,0.6,0.5
210,12103126001,0,1,0,32.0,22.0,26.0,18304.0,1.56,48.0,381.3,0.032,PCS,0.6,0.5
211,12103127001,0,1,0,39.0,25.0,31.0,30225.0,1.81,48.0,629.7,0.038,PCS,0.6,0.5
212,12103135001,0,1,0,13.0,7.0,24.0,2184.0,0.5,12.0,182.0,0.042,PCS,0.6,0.5
213,12103139001,0,1,0,39.0,25.0,31.0,30225.0,1.81,48.0,629.7,0.038,PCS,0.6,0.5
214,12103154001,0,1,2,26.0,19.0,26.0,12844.0,1.09,48.0,267.6,0.023,PCS,0.6,0.5
215,12103156001,0,1,0,34.0,22.0,24.0,17952.0,1.21,48.0,374.0,0.025,PCS,0.6,0.5
216,12103179001,0,1,0,23.0,8.0,5.0,920.0,0.11,6.0,153.3,0.018,PCS,0.6,0.5
217,12104047001,0,1,0,12.0,9.0,22.0,2376.0,0.35,1.0,2376.0,0.35,PCS,0.6,0.5
218,12105018001,0,1,0,26.0,24.0,21.0,13104.0,6.374,12.0,1092.0,0.531,PCS,0.6,0.5
219,12105036001,0,1,0,36.0,18.0,20.0,12960.0,6.71,12.0,1080.0,0.559,PCS,0.6,0.5
220,12106109002,0,1,0,25.0,20.0,16.0,8000.0,2.1,12.0,666.7,0.175,PCS,0.6,0.5
221,12110058001,0,2,0,21.0,9.0,21.0,3969.0,0.8,6.0,661.5,0.133,PCS,0.6,0.5
222,12111034001,0,1,1,15.0,9.0,16.0,2160.0,0.8,10.0,216.0,0.08,PCS,0.6,0.5
223,12120005001,0,1,1,39.0,33.0,25.0,32175.0,3.5,24.0,1340.6,0.146,PCS,0.6,0.5
224,12120027001,0,2,6,14.0,8.0,14.0,1566.0,0.2,1.0,1566.0,0.2,PCS,0.6,0.5
225,12120040001,0,1,0,36.0,33.0,39.0,46332.0,4.37,18.0,2574.0,0.243,PCS,0.6,0.5
226,12120043001,0,1,1,8.0,14.0,14.0,1458.0,0.11,1.0,1458.0,0.11,PCS,0.6,0.5
227,12120065001,0,1,1,39.0,29.0,16.0,18096.0,2.3,36.0,502.7,0.064,PCS,0.6,0.5
228,12120078001,0,4,2,27.0,38.0,14.0,14364.0,1.61,24.0,598.5,0.067,PCS,0.6,0.5
229,12120080001,0,1,0,36.0,20.0,20.0,14400.0,1.35,8.0,1800.0,0.169,PCS,0.6,0.5
230,12120087001,0,1,1,40.0,24.0,16.0,15360.0,1.7,24.0,640.0,0.071,PCS,0.6,0.5
231,12120090001,0,1,0,41.0,23.0,24.0,22632.0,2.42,36.0,628.7,0.067,PCS,0.6,0.5
232,12122012001,0,5,11,43.0,37.0,28.0,44548.0,4.02,24.0,1856.2,0.167,PCS,0.6,0.5
233,12122017001,0,1,1,35.0,30.0,25.0,26250.0,1.716,18.0,1458.3,0.095,PCS,0.6,0.5
234,12122037001,0,1,0,42.0,26.0,21.0,22932.0,3.0,24.0,955.5,0.125,PCS,0.6,0.5
