item_code;item_name;box_length;box_width;box_height;box_volume;box_weight;number_of_item_in_a_box;item_volume;item_unit;item_order_frequency;item_relative_importance;item_quantity_order_mean;item_quantity_order_std;item_quantity_order_total;item_quantity_order_unique;item_quantity_order_unique_frequency;item_class;item_initial_quantity_inventory
10000021001;可口可樂纖維+ Can 330ml;40.00.00;28.00.00;12.00;13440.0;08.59;24.00.00;560.00.00;PCS;81.00.00;0.7080015333077782;0,589583333;13.549;1191;[3, 4, 8, 12, 16, 20, 21, 24, 48, 83];[1, 35, 15, 6, 1, 2, 1, 21, 4, 1];C;29
10000022001;可口可樂1250ml;37.00.00;27.00.00;29.00.00;28971.0;15.12;12.00;2414.03.00;PCS;65.00.00;0.7485475242079299;4.618;06.36;314;[1, 2, 3, 4, 5, 6, 10, 12, 24];[26, 17, 5, 5, 1, 2, 1, 6, 5];C;12
10000023001;百事可樂 - 600ml;43.00.00;28.00.00;25.00.00;30100.0;16.27;24.00.00;1254.02.00;PCS;24.00.00;0.8705754904084932;4.923;3.261;128;[4, 8, 20];[23, 2, 1];C;9
10000026001;可口可樂Can 235ml;34.00.00;22.00;14.00;10472.0;0,293055556;24.00.00;436.03.00;PCS;506.00.00;0.2156430726154564;14.236;10.831;7232;[8, 16, 24, 32, 40, 48, 64, 72, 96];[312, 100, 49, 20, 8, 16, 1, 1, 1];B;43
10000027001;可口可樂纖維+ Pet 600ml;45.00.00;30.00.00;25.00.00;33750.0;15.41;24.00.00;1406.03.00;PCS;65.00.00;0.7487641872635457;15.256;10.276;1312;[4, 8, 12, 16, 20, 24, 28, 32, 36, 48];[19, 17, 8, 11, 5, 17, 2, 3, 2, 2];C;31
10000998001;可樂雪碧350ml*12入組;28.00.00;20.00;19.00;10640.0;04.08;01.00;10640.0;PCS;645.00.00;0.16952384126931216;1.308;0,353472222;850;[1, 2, 3, 4];[464, 173, 12, 1];A;5
10001001001;七喜汽水2L;34.00.00;24.00.00;31.00.00;25296.0;13.34;06.00;4216.00.00;PCS;158.00.00;0.5680238662688956;5.734;8.473;906;[1, 2, 3, 6, 12, 18, 21, 30, 48, 51];[58, 34, 10, 29, 8, 10, 1, 6, 1, 1];C;15
10001004001;雪碧汽水2L;34.00.00;23.00;31.00.00;24242.0;12.52;06.00;4040.03.00;PCS;440.00.00;0.27249879168680524;6.485;9.454;2886;[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 15, 16, 17, 18, 21, 24, 31, 36, 39, 48];[169, 72, 11, 6, 1, 88, 1, 3, 1, 46, 1, 1, 1, 14, 1, 8, 1, 9, 1, 10];B;31
10001005001;七喜汽水330ml;40.00.00;27.00.00;12.00;12960.0;09.11;24.00.00;540.00.00;PCS;94.00.00;0.6752220796320061;19.069;14.158;1926;[6, 12, 18, 24, 30, 36, 42, 48];[41, 7, 5, 31, 2, 1, 1, 13];C;36
10001006001;雪碧汽水330ml;40.00.00;28.00.00;12.00;13440.0;0,399305556;24.00.00;560.00.00;PCS;572.00.00;0.17951034149430842;17.499;18.934;10062;[6, 12, 18, 24, 30, 36, 48, 72, 78, 96, 264];[294, 54, 10, 144, 2, 3, 55, 8, 1, 3, 1];A;143
10001007001;黑松汽水-600毫升;42.00.00;28.00.00;24.00.00;28224.0;0,692361111;24.00.00;1176.00.00;PCS;18.00;0.900084998583357;09.06;7.721;192;[4, 8, 12, 16, 20, 24];[11, 2, 2, 1, 1, 3];C;19
10001008001;黑松汽水2L;34.00.00;22.00;31.00.00;23188.0;13.02;06.00;3864.07.00;PCS;61.00.00;0.7570007166547225;7.952;4.789;493;[1, 5, 6, 12, 18, 24, 30];[2, 1, 44, 11, 2, 1, 1];C;14
10001009001;黑松沙士245ml;40.00.00;27.00.00;10.00;10800.0;0,303472222;24.00.00;450.00.00;PCS;571.00.00;0.18332027799536674;34.309;18.887;19968;[2, 22, 24, 46, 48, 72, 96, 120, 240];[4, 3, 379, 1, 158, 27, 4, 5, 1];A;160
10001010001;雪碧汽水1250ml;37.00.00;28.00.00;29.00.00;30044.0;11.02;12.00;2503.07.00;PCS;05.00;0.974913751437476;14.04;5.367;72;[12, 24];[4, 1];C;20
10001012001;雪碧汽水Can 250 ml;40.00.00;27.00.00;10.00;10800.0;0,304861111;24.00.00;450.00.00;PCS;473.00.00;0.24652255795736738;34.148;22.188;16152;[24, 48, 72, 96, 168];[339, 104, 15, 8, 7];B;92
10001014001;雪碧易開罐235ml;34.00.00;22.00;14.00;10472.0;06.55;24.00.00;436.03.00;PCS;165.00.00;0.5540040999316678;12.08;9.341;2112;[8, 16, 24, 32, 40, 48];[114, 27, 14, 2, 2, 6];C;23
10001015001;雪碧汽水600ml;45.00.00;30.00.00;24.00.00;32400.0;15.06;24.00.00;1350.00.00;PCS;62.00.00;0.7545240912651456;9.015;9.556;604;[4, 8, 16, 24, 48];[41, 13, 3, 8, 2];C;20
10001020001;黑松CC檸檬氣泡飲can 330ml;41.00.00;27.00.00;12.00;13284.0;08.58;24.00.00;553.05.00;PCS;110.00.00;0.6450125831236146;15.372;12.146;1860;[6, 12, 18, 24, 30, 42, 48, 54];[60, 12, 7, 32, 1, 1, 7, 1];C;30
10001022001;黑松CC檸檬氣泡飲PET 500ml;42.00.00;28.00.00;23.00;27048.0;0,597916667;24.00.00;1127.00.00;PCS;128.00.00;0.6105798236696055;8.923;10.177;1160;[4, 8, 12, 16, 24, 36, 48];[93, 8, 7, 1, 15, 2, 4];C;20
10001025001;黑松汽水Can 245ml;40.00.00;27.00.00;10.00;10800.0;06.08;24.00.00;450.00.00;PCS;295.00.00;0.3860968983850269;30.626;14.319;9096;[24, 48, 72, 192];[223, 71, 2, 1];B;68
10001035001;黑松CC氣泡飲葡萄 500ml;42.00.00;28.00.00;23.00;27048.0;13.682;24.00.00;1127.00.00;PCS;89.00.00;0.6880151997466709;7.532;7.667;708;[4, 8, 12, 20, 24, 32, 48];[66, 13, 4, 1, 8, 1, 1];C;16
10001041001;Mountain Dew 激浪汽水 500ml;42.00.00;28.00.00;26.00.00;30576.0;15.55;24.00.00;1274.00.00;PCS;24.00.00;0.8706554890751821;10.24;12.966;256;[4, 8, 12, 20, 24, 48];[18, 1, 1, 1, 2, 2];C;25
10001043001;雪碧纖維+ Pet 600ml;45.00.00;30.00.00;24.00.00;32400.0;15.07;24.00.00;1350.00.00;PCS;58.00.00;0.7663905601573308;16.299;12.305;1092;[4, 8, 12, 16, 24, 48];[18, 12, 3, 6, 23, 5];C;32
10001044001;黑松CC乳酸菌氣泡飲 510ml;40.00.00;27.00.00;25.00.00;27000.0;13.748;24.00.00;1125.00.00;PCS;03.00;0.9871102148297528;5.333;2.309;16;[4, 8];[2, 1];C;8
10002001001;維他露P 250ml;41.00.00;28.00.00;10.00;11480.0;0,306944444;24.00.00;478.03.00;PCS;317.00.00;0.36162397293378445;30.45.00;11.153;9744;[24, 48, 72];[237, 80, 3];B;60
10002003001;黑松加鹽沙士600 ml;43.00.00;28.00.00;24.00.00;28896.0;16.03;24.00.00;1204.00.00;PCS;171.00.00;0.5472875452075798;11.953;12.066;2056;[4, 8, 12, 16, 24, 28, 32, 48];[91, 24, 8, 4, 32, 1, 2, 10];C;25
10002005001;蘋果西打330ml;40.00.00;27.00.00;13.00;14040.0;09.56;24.00.00;585.00.00;PCS;363.00.00;0.31618139697671704;13.805;13.704;5094;[6, 12, 18, 24, 30, 36, 48, 72, 168];[215, 37, 8, 87, 2, 3, 15, 1, 1];B;50
10002006001;蘋果西打2L;34.00.00;23.00;31.00.00;24242.0;13.37;06.00;4040.03.00;PCS;422.00.00;0.2767887201879969;4.268;6.462;1848;[1, 2, 3, 4, 6, 7, 12, 18, 22, 24, 36, 48];[188, 95, 39, 1, 52, 1, 29, 11, 4, 9, 1, 3];B;21
10002007001;芬達橘子汽水330ml;40.00.00;28.00.00;12.00;13440.0;0,395138889;24.00.00;560.00.00;PCS;200.00.00;0.5078782020299661;13.254;11.52;2664;[6, 12, 18, 24, 48];[118, 27, 4, 39, 13];C;26
10002008001;加鹽黑松沙士Can245ml;40.00.00;27.00.00;10.00;10800.0;06.08;24.00.00;450.00.00;PCS;404.00.00;0.2932884451925801;37.748;28.435;15288;[24, 48, 72, 96, 120, 192];[267, 99, 21, 5, 5, 8];B;111
10002009001;黑松沙士600 ml;43.00.00;28.00.00;24.00.00;28896.0;16.02;24.00.00;1204.00.00;PCS;240.00.00;0.45027916201396645;16.424;18.986;4188;[4, 8, 12, 16, 20, 24, 28, 32, 36, 48, 96];[114, 27, 15, 4, 4, 62, 1, 1, 3, 16, 8];B;67
10002010001;維大力汽水255 ml;40.00.00;27.00.00;10.00;10800.0;0,303472222;24.00.00;450.00.00;PCS;236.00.00;0.45819569673838767;32.465;0,6375;7824;[24, 48, 72, 96];[170, 61, 6, 4];B;72
10002011001;金車麥根沙士PET585ml;42.00.00;28.00.00;24.00.00;28224.0;0,675;24.00.00;1176.00.00;PCS;08.00;0.9567373877102048;06.08;3.293;68;[4, 8, 12];[5, 3, 2];C;12
10002012001;維他露P 330 ml;41.00.00;27.00.00;13.00;14391.0;0,3875;24.00.00;599.06.00;PCS;66.00.00;0.7443709271512141;19.714;19.218;1518;[6, 12, 18, 24, 42, 48, 84];[32, 10, 2, 23, 1, 5, 4];C;43
10002013001;AW 麥根沙士;40.00.00;13.00;13.00;6760.00.00;0,214583333;12.00;563.03.00;PCS;04.00;0.981090315161414;30.00.00;12.00;120;[24, 48];[3, 1];C;43
10002014001;維大力汽水Can330ml;41.00.00;27.00.00;13.00;14391.0;09.53;24.00.00;599.06.00;PCS;144.00.00;0.5861368977183714;16.419;13.076;2742;[6, 12, 18, 24, 30, 42, 48, 96];[72, 20, 12, 49, 2, 1, 10, 1];C;33
10002017001;黑松沙士2L;34.00.00;22.00;31.00.00;23188.0;13.03;06.00;3864.07.00;PCS;205.00.00;0.5024782920284662;12.435;10.451;2599;[1, 2, 4, 5, 6, 7, 11, 12, 18, 24, 30, 36, 48];[6, 3, 2, 1, 102, 1, 1, 44, 11, 11, 13, 9, 5];C;24
10002018001;黑松沙士330ml;41.00.00;27.00.00;12.00;13284.0;09.27;24.00.00;553.05.00;PCS;817.00.00;0.09175180413659773;16.046;13.619;13302;[1, 5, 6, 12, 18, 23, 24, 30, 36, 48, 54, 60, 72, 120];[3, 2, 395, 117, 13, 1, 210, 5, 3, 75, 2, 1, 1, 1];A;106
10002019001;維大力加鹽沙士Can330 ml;41.00.00;27.00.00;13.00;14391.0;09.34;24.00.00;599.06.00;PCS;390.00.00;0.30125164580590325;23.028;17.484;9096;[6, 12, 18, 24, 30, 36, 48, 60, 72, 84, 96, 120];[7, 194, 4, 117, 1, 10, 53, 1, 1, 1, 1, 5];B;69
10002021001;蘋果西打-250ml;40.00.00;27.00.00;09.00;9720.00.00;0,31875;24.00.00;405.00.00;PCS;477.00.00;0.24177930367827202;31.55.00;15.333;15144;[24, 48, 72, 96, 144];[361, 98, 12, 8, 1];B;72
10002025001;黑松沙士1250 ml;38.00.00;28.00.00;30.00.00;31920.0;16.02;12.00;2660.00.00;PCS;97.00.00;0.6710688155197413;3.069;4.177;310;[1, 2, 3, 4, 5, 6, 8, 11, 12, 24];[50, 25, 7, 1, 2, 6, 1, 1, 6, 2];C;8
10002026001;芬達汽水橘子口味600ml;31.00.00;22.00;24.00.00;16368.0;0,35;12.00;1364.00.00;PCS;04.00;0.9811036482725288;14.04;5.367;72;[12, 24];[4, 1];C;24
10002035001;維大力汽水2L;34.00.00;23.00;31.00.00;24242.0;13.44;06.00;4040.03.00;PCS;185.00.00;0.5247245879235346;3.148;4.808;617;[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 15, 24, 26, 48];[108, 28, 12, 2, 4, 28, 1, 1, 1, 7, 1, 1, 1, 1];C;9
10002037001;七星藍莓汽泡香檳飲料750ml;35.00.00;27.00.00;32.00.00;30240.0;17.01;12.00;2520.00.00;PCS;07.00;0.963000616656389;1.857;1.864;13;[1, 2, 6];[5, 1, 1];C;4
10002038001;七星紅葡萄氣泡香檳飲料750ml;35.00.00;27.00.00;32.00.00;30240.0;17.01;12.00;2520.00.00;PCS;08.00;0.9567640539324345;2.444;2.186;22;[1, 5, 6];[6, 2, 1];C;6
10002039001;七星白葡萄汽泡香檳飲料750 ml;35.00.00;27.00.00;32.00.00;30240.0;17.13;12.00;2520.00.00;PCS;02.00;0.9922367960533991;06.00;5.354;24;[1, 2, 9, 12];[1, 1, 1, 1];C;18
10002040001;芬達橘子汽水2L;34.00.00;23.00;31.00.00;24242.0;13.01;06.00;4040.03.00;PCS;84.00.00;0.7019349677505375;5.602;7.542;493;[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 18, 30, 37, 48];[31, 13, 3, 1, 1, 22, 1, 2, 1, 7, 1, 2, 1, 1, 1];C;14
10002045001;黑松加鹽沙士2L;34.00.00;22.00;30.00.00;22440.0;0,566666667;06.00;3740.00.00;PCS;259.00.00;0.4245862568957184;3.238;0,186805556;845;[1, 2, 3, 5, 6, 7, 12, 18, 24];[120, 59, 24, 1, 32, 2, 16, 6, 1];B;14
10002046001;金車麥根沙士can330ml;43.00.00;29.00.00;12.00;14964.0;0,390277778;24.00.00;623.05.00;PCS;144.00.00;0.5866168897185047;17.373;10.119;2658;[6, 12, 18, 24, 36, 48, 72];[6, 96, 1, 38, 5, 6, 1];C;29
10002051001;維他露P 2L;34.00.00;23.00;31.00.00;24242.0;13.23;06.00;4040.03.00;PCS;10.00;0.9449375843735938;4.091;1.921;45;[1, 2, 3, 6];[1, 1, 4, 5];C;7
10002069001;金車麥根沙士Pet 2000ml;34.00.00;23.00;30.00.00;23460.0;13.28;06.00;3910.00.00;PCS;62.00.00;0.7547307544874252;2.667;03.04;176;[1, 2, 3, 4, 6, 12, 15];[37, 9, 8, 1, 7, 3, 1];C;6
10002071001;金車奧利多水Pet585ml;42.00.00;28.00.00;25.00.00;29400.0;0,690972222;24.00.00;1225.00.00;PCS;147.00.00;0.5827336211063149;6.216;4.409;920;[4, 8, 12, 16, 20, 24];[102, 29, 9, 2, 1, 5];C;11
10002072001;金車奧利多水Pet2000ml;34.00.00;23.00;30.00.00;23460.0;13.03;06.00;3910.00.00;PCS;66.00.00;0.7445909234846085;2.838;4.727;193;[1, 2, 3, 4, 6, 12, 36];[38, 14, 3, 1, 9, 2, 1];C;8
10002073001;微舒打葡萄can320ml;41.00.00;27.00.00;12.00;13284.0;0,377777778;24.00.00;553.05.00;PCS;64.00.00;0.75114414759754;12.738;0,427083333;828;[6, 12, 18, 24, 48];[36, 10, 2, 15, 2];C;24
10002074001;蘋果西打1250ml;36.00.00;27.00.00;28.00.00;27216.0;17.00;12.00;2268.00.00;PCS;105.00.00;0.6558324027932868;3.333;4.018;350;[1, 2, 3, 4, 6, 12, 24];[48, 21, 14, 2, 7, 12, 1];C;8
10002078001;金車冰淇淋汽水Pet 2000ml;34.00.00;23.00;30.00.00;23460.0;13.31;06.00;3910.00.00;PCS;08.00;0.956790720154664;06.00;00.00;66;[6];[11];C;9
10002102001;維大力零熱量汽水 330ml;40.00.00;27.00.00;12.00;12960.0;09.00;24.00.00;540.00.00;PCS;401.00.00;0.29731171147147545;25.763;22.914;10434;[12, 18, 24, 36, 48, 60, 72, 84, 96, 120];[217, 3, 98, 8, 50, 2, 4, 2, 15, 6];B;85
10002899001;黑松加鹽沙士330 ml;41.00.00;27.00.00;12.00;13284.0;8.588;24.00.00;553.05.00;PCS;03.00;0.987120214663089;12.00;10.392;36;[6, 24];[2, 1];C;23
10002906001;美粒果蘋果蘇打Pet 500ml;42.00.00;29.00.00;22.00;26796.0;13.02;24.00.00;1116.05.00;PCS;96.00.00;0.672682121964634;07.25;6.453;754;[2, 4, 6, 8, 10, 12, 14, 16, 20, 22, 24];[5, 67, 1, 11, 2, 3, 2, 1, 1, 1, 10];C;15
10002907001;美粒果蘋果蘇打Can 330ml;40.00.00;27.00.00;12.00;12960.0;0,389583333;24.00.00;540.00.00;PCS;224.00.00;0.4781020316328061;14.871;12.816;3450;[6, 12, 18, 24, 30, 36, 48, 60, 96];[122, 27, 5, 59, 4, 1, 12, 1, 1];B;49
10002911001;樹頂蘋果氣泡飲320ml;40.00.00;27.00.00;12.00;12960.0;08.07;24.00.00;540.00.00;PCS;01.00;0.996906718221363;06.00;00.00;6;[6];[1];C;6
10002915001;黑松CC氣泡飲王林蘋果風味 500ml;43.00.00;27.00.00;22.00;25542.0;13.932;24.00.00;1064.03.00;PCS;18.00;0.9001449975833736;9.778;14.074;176;[4, 8, 12, 48];[13, 2, 1, 2];C;25
10002916001;美粒果蘋果蘇打1250ml;27.00.00;27.00.00;30.00.00;21870.0;16.02;12.00;1822.05.00;PCS;13.00;0.9267978867018883;11.231;2.774;146;[2, 12];[1, 12];C;15
10002917001;黑松蘋果蘇打富士蘋果風味2000ml;34.00.00;22.00;31.00.00;23188.0;13.02;06.00;3864.07.00;PCS;42.00.00;0.8071465475575407;04.16;3.627;208;[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12];[18, 6, 4, 3, 1, 9, 1, 1, 1, 1, 5];C;9
10002918001;維大力蘋果風味氣水2000ml;35.00.00;23.00;31.00.00;24955.0;13.45;06.00;4159.02.00;PCS;06.00;0.9688771853802437;4.333;2.582;26;[1, 6];[2, 4];C;8
10002919001;維大力白葡萄風味氣水2000ml;35.00.00;23.00;31.00.00;24955.0;13.46;06.00;4159.02.00;PCS;15.00;0.9156780720321328;8.667;11.324;130;[1, 2, 6, 12, 48];[2, 1, 9, 2, 1];C;21
10002924001;英國Barr覆盆子風味無糖飲料;40.00.00;26.00.00;12.00;12480.0;08.43;24.00.00;520.00.00;PCS;03.00;0.987130214496425;1.333;0,400694444;4;[1, 2];[2, 1];C;2
10002942001;黑松CC氣泡飲蘋果口味330ml;40.00.00;28.00.00;12.00;13440.0;0,396527778;24.00.00;560.00.00;PCS;42.00.00;0.8072865452242463;13.915;12.007;654;[6, 12, 18, 24, 36, 72];[25, 5, 4, 11, 1, 1];C;29
10002943001;維大力白葡萄風味氣水330ml;44.00.00;27.00.00;12.00;14256.0;0,390277778;24.00.00;594.00.00;PCS;138.00.00;0.5960367327211213;18.691;12.174;2598;[12, 18, 24, 36, 48, 60, 72, 84];[90, 1, 34, 5, 6, 1, 1, 1];C;32
10002944001;維大力蘋果風味氣水330ml;44.00.00;27.00.00;12.00;14256.0;0,390277778;24.00.00;594.00.00;PCS;125.00.00;0.6148030866152231;20.331;25.317;2826;[6, 12, 18, 24, 36, 48, 60, 204, 216];[7, 85, 2, 29, 7, 5, 2, 1, 1];C;49
10002990001;維他露大蘋果蘇打 330ml;41.00.00;27.00.00;12.00;13284.0;0,39375;24.00.00;553.05.00;PCS;15.00;0.9157280711988134;22.25;15.124;356;[2, 6, 10, 14, 24, 48];[1, 3, 1, 1, 7, 3];C;40
10002992001;黑松蘋安福氣組 460mlx12;27.00.00;19.00;23.00;11799.0;06.27;01.00;11799.0;PCS;351.00.00;0.32925117914701424;1.265;0,463888889;454;[1, 2, 3, 4, 5, 7];[289, 58, 3, 7, 1, 1];B;4
10010001001;波蜜一日蔬果100蔬果汁 250ml;32.00.00;17.00;14.00;7616.00.00;05.09;18.00;423.01.00;PCS;01.00;0.9969100514991417;06.00;00.00;12;[6];[2];C;12
10010002001;波蜜果菜汁TP250ml;35.00.00;20.00;11.00;7700.00.00;0,29375;24.00.00;320.08.00;PCS;693.00.00;0.13866102231629474;27.774;17.258;19692;[6, 12, 18, 24, 30, 36, 48, 54, 72, 96];[115, 32, 7, 371, 3, 3, 155, 1, 9, 13];A;142
10010004001;紅牌速纖纖維飲料TP250ml;35.00.00;20.00;11.00;7700.00.00;0,300694444;24.00.00;320.08.00;PCS;409.00.00;0.2865118914684755;28.111;37.952;11694;[6, 12, 18, 24, 36, 48, 72, 96, 720];[82, 21, 5, 206, 1, 91, 3, 6, 1];B;126
10010007001;100紫色蔬果汁TP250ml;32.00.00;17.00;14.00;7616.00.00;05.09;18.00;423.01.00;PCS;04.00;0.9811169813836436;09.00;06.00;36;[6, 18];[3, 1];C;16
10010009001;波蜜BCE果菜汁Pet580ml;42.00.00;28.00.00;24.00.00;28224.0;15.09;24.00.00;1176.00.00;PCS;18.00;0.9002049965833903;09.02;7.578;184;[4, 8, 20, 24];[11, 4, 3, 2];C;19
10010012001;波蜜果菜汁 Pet 580ml;42.00.00;28.00.00;24.00.00;28224.0;15.08;24.00.00;1176.00.00;PCS;23.00;0.8747320877985367;14.957;13.549;344;[4, 8, 12, 24, 48];[9, 4, 1, 7, 2];C;29
10010018001;波蜜果菜汁Can240ml;40.00.00;27.00.00;10.00;10800.0;07.25;24.00.00;450.00.00;PCS;18.00;0.9002649955834069;29.333;10.267;528;[24, 48];[14, 4];C;40
10010019001;波蜜低卡果菜汁TP250ml;32.00.00;17.00;14.00;7616.00.00;05.01;18.00;423.01.00;PCS;35.00.00;0.8302428292861785;13.667;7.935;492;[6, 12, 18, 36];[15, 2, 17, 2];C;23
10010023001;波蜜100蔬果汁TP160ml;33.00.00;16.00;10.00;5280.00.00;04.31;24.00.00;220.00.00;PCS;01.00;0.9969133847769204;06.00;00.00;6;[6];[1];C;6
10010026001;一日蔬果100葡萄蔬果汁 160ml;33.00.00;16.00;10.00;5280.00.00;04.39;24.00.00;220.00.00;PCS;80.00.00;0.7101581640305995;17.639;18.033;1464;[6, 12, 18, 24, 48, 72, 96];[44, 5, 2, 23, 5, 3, 1];C;37
10010027001;一日蔬果100蘋果柳橙蔬果 160ml;33.00.00;16.00;10.00;5280.00.00;04.34;24.00.00;220.00.00;PCS;06.00;0.9688971850469159;114.00.00;87.714;912;[24, 96, 192, 288];[2, 4, 1, 1];C;243
10010035001;波蜜BCE果菜汁TP250ml;34.00.00;20.00;11.00;7480.00.00;0,292361111;24.00.00;311.07.00;PCS;416.00.00;0.2823952934117765;26.105;14.164;10938;[6, 12, 18, 24, 30, 48, 54, 72];[72, 14, 3, 234, 1, 91, 1, 3];B;63
10010042001;義美寶吉蔬果汁葡萄莓果125ml;28.00.00;16.00;09.00;4032.00.00;03.42;24.00.00;168.00.00;PCS;29.00.00;0.8507191546807553;12.04;11.784;372;[6, 18, 24, 48];[21, 3, 4, 2];C;26
10010043001;義美寶吉蔬果汁蘋果柳橙125ml;28.00.00;16.00;09.00;4032.00.00;03.42;24.00.00;168.00.00;PCS;34.00.00;0.833972767120548;11.333;8.085;408;[6, 12, 24];[24, 2, 10];C;21
10010044001;一日蔬果100水蜜桃蘋果蔬果汁160ml;33.00.00;16.00;10.00;5280.00.00;04.38;24.00.00;220.00.00;PCS;02.00;0.9922434626089566;06.00;00.00;12;[6];[2];C;6
10011001001;光泉果汁時刻蘋果汁TP250ml;34.00.00;20.00;11.00;7480.00.00;06.59;24.00.00;311.07.00;PCS;209.00.00;0.4976283728604523;23.171;14.214;4866;[6, 12, 18, 24, 48];[54, 12, 3, 101, 40];B;60
10011003001;樹頂100純蘋果汁200ml;33.00.00;16.00;13.00;6864.00.00;05.44;24.00.00;286.00.00;PCS;246.00.00;0.43972933784436924;10.659;9.674;2718;[6, 12, 18, 24, 30, 36, 42, 48, 96];[162, 56, 8, 18, 2, 3, 1, 4, 1];B;36
10011004001;波蜜一日水果100蘋果汁250ml;31.00.00;17.00;13.00;6851.00.00;02.00;18.00;380.06.00;PCS;12.00;0.9324277928701188;12.00;06.00;156;[6, 12, 18];[6, 1, 6];C;20
10011007001;囍瑞100純天然蘋果原汁1L;36.00.00;20.00;20.00;14400.0;13.28;12.00;1200.00.00;PCS;14.00;0.9208746520891319;6.312;6.973;101;[1, 2, 3, 6, 7, 9, 12, 13, 17, 24];[6, 2, 1, 1, 1, 1, 1, 1, 1, 1];C;15
