order_id,item_id,item_quantity,order_arrival
858,140,3,65
859,41,3,66
859,90,1,66
859,417,2,66
859,24,2,66
859,6,3,66
860,97,2,67
860,33,3,67
860,299,2,67
860,286,2,67
860,94,1,67
861,7,1,68
862,27,3,69
862,134,1,69
863,157,2,70
863,103,3,70
863,43,2,70
863,478,1,70
863,285,1,70
863,449,2,70
863,24,2,70
863,247,1,70
864,36,3,71
865,18,3,72
865,42,3,72
865,35,2,72
865,23,1,72
865,323,2,72
866,17,3,73
866,188,2,73
866,15,1,73
866,497,3,73
866,242,3,73
866,195,3,73
867,6,1,74
868,10,1,75
868,283,1,75
868,242,3,75
868,2,2,75
868,0,3,75
869,194,3,76
870,168,3,77
871,106,3,78
871,285,3,78
871,1,2,78
871,12,2,78
871,5,3,78
872,196,1,79
872,13,1,79
872,140,1,79
873,448,1,80
873,223,1,80
873,4,1,80
873,81,1,80
874,8,3,81
874,4,2,81
874,12,2,81
874,425,2,81
875,55,3,82
875,9,2,82
875,389,1,82
876,107,1,83
876,144,1,83
876,438,2,83
877,39,2,84
877,10,3,84
878,19,1,85
879,72,3,86
879,160,2,86
880,11,2,87
880,80,1,87
881,32,2,88
882,55,2,89
883,108,2,90
883,211,1,90
883,261,1,90
884,33,3,91
884,105,3,91
884,62,2,91
885,240,1,92
885,445,3,92
885,135,1,92
885,144,1,92
886,41,2,93
886,7,2,93
886,5,2,93
886,179,1,93
886,4,3,93
886,20,1,93
887,0,3,94
887,174,1,94
887,320,1,94
887,138,2,94
888,25,2,95
889,151,3,96
889,25,2,96
889,124,1,96
889,202,2,96
889,91,2,96
889,194,3,96
889,1,2,96
889,13,1,96
889,51,1,96
889,18,3,96
889,10,3,96
889,225,1,96
889,488,2,96
889,196,2,96
889,327,2,96
889,493,3,96
890,273,1,97
891,12,1,98
892,62,1,99
892,82,1,99
893,191,1,100
894,88,2,101
894,161,1,101
894,280,3,101
895,23,2,102
895,241,2,102
895,182,3,102
896,43,3,103
896,342,2,103
896,214,2,103
896,325,1,103
896,100,1,103
896,88,2,103
897,82,2,104
897,14,1,104
897,27,1,104
897,9,2,104
897,1,2,104
897,283,1,104
897,144,2,104
898,82,1,105
898,475,3,105
898,196,3,105
898,118,2,105
899,403,3,106
899,301,2,106
899,370,3,106
899,31,3,106
900,90,2,107
900,460,1,107
900,486,1,107
901,137,2,108
901,42,3,108
901,4,3,108
901,1,2,108
902,38,2,109
902,473,1,109
902,122,3,109
902,211,3,109
902,23,3,109
902,75,3,109
902,295,2,109
902,439,3,109
902,341,1,109
902,3,3,109
902,26,3,109
902,2,3,109
903,1,3,110
903,14,2,110
903,84,1,110
903,295,3,110
903,2,2,110
904,255,1,111
904,266,1,111
905,24,1,112
905,267,2,112
905,42,3,112
905,85,3,112
905,80,1,112
905,38,3,112
906,115,1,113
906,315,2,113
907,30,3,114
908,56,1,115
909,65,3,116
909,98,2,116
909,435,1,116
909,178,1,116
910,10,2,117
911,36,3,118
912,32,2,119
912,404,3,119
913,17,3,120
913,288,2,120
913,47,1,120
914,46,1,121
914,180,1,121
914,135,2,121
914,205,3,121
914,42,1,121
914,12,1,121
914,20,1,121
915,159,2,122
915,78,1,122
915,104,3,122
915,493,3,122
915,231,3,122
916,9,3,123
916,63,2,123
916,10,3,123
916,116,2,123
916,452,1,123
917,4,1,124
917,1,2,124
917,17,2,124
917,5,3,124
917,40,1,124
917,52,3,124
917,51,3,124
917,3,2,124
917,9,1,124
918,28,1,125
919,5,2,126
920,0,2,127
920,44,3,127
920,49,2,127
920,27,1,127
920,38,1,127
920,206,1,127
921,40,3,128
922,22,3,129
923,1,3,130
923,38,1,130
923,171,3,130
923,25,1,130
923,4,1,130
923,9,1,130
923,315,3,130
923,0,2,130
924,54,1,131
925,0,2,132
925,186,1,132
925,166,1,132
925,17,1,132
925,159,3,132
925,295,2,132
926,460,2,133
926,122,1,133
926,223,1,133
927,67,3,134
927,32,1,134
927,36,3,134
927,26,2,134
927,4,2,134
928,119,1,135
929,129,1,136
929,40,1,136
929,249,3,136
929,200,1,136
930,8,3,137
930,45,1,137
930,496,2,137
930,1,3,137
931,5,2,138
931,215,2,138
931,370,1,138
932,1,2,139
933,18,1,140
933,98,1,140
933,322,1,140
934,223,2,141
935,72,1,142
936,99,2,143
936,249,3,143
937,455,2,144
937,161,1,144
937,155,3,144
937,5,2,144
938,3,2,145
938,264,2,145
939,7,2,146
939,447,3,146
939,30,3,146
939,12,3,146
940,38,3,147
941,228,2,148
941,93,3,148
941,82,2,148
941,220,3,148
942,4,3,149
942,283,3,149
942,369,2,149
943,132,1,150
944,447,3,151
945,242,2,152
945,87,2,152
945,44,2,152
945,81,2,152
946,327,2,153
946,165,2,153
946,33,2,153
947,6,1,154
947,8,3,154
948,370,1,155
948,70,1,155
949,232,2,156
949,89,2,156
949,24,1,156
949,11,2,156
950,1,1,157
951,90,2,158
951,88,2,158
951,15,3,158
951,17,2,158
951,23,3,158
951,167,2,158
951,351,1,158
951,423,2,158
951,486,1,158
952,49,2,159
953,76,1,160
953,167,2,160
953,23,2,160
953,17,2,160
953,7,3,160
953,294,3,160
954,30,1,161
954,140,1,161
955,342,3,162
956,255,3,163
957,193,1,164
958,31,1,165
959,111,2,166
960,223,1,167
960,45,3,167
960,59,1,167
960,29,3,167
960,14,1,167
960,9,3,167
961,41,3,168
961,66,2,168
961,149,2,168
962,367,1,169
963,368,2,170
963,33,2,170
964,14,3,171
965,285,1,172
966,72,3,173
966,79,2,173
967,9,3,174
967,475,3,174
967,315,2,174
968,295,2,175
969,1,1,176
969,25,3,176
970,138,1,177
970,297,3,177
970,73,2,177
971,0,2,178
971,467,3,178
971,68,1,178
972,5,3,179
972,10,2,179
973,296,2,180
973,91,3,180
974,93,1,181
974,151,2,181
975,23,2,182
975,9,2,182
975,125,3,182
975,331,2,182
975,3,1,182
975,39,1,182
975,349,2,182
975,284,3,182
975,493,3,182
976,30,2,183
976,77,3,183
976,197,3,183
976,179,1,183
977,23,2,184
977,35,1,184
977,40,1,184
978,96,1,185
979,0,2,186
979,23,3,186
979,13,3,186
979,176,3,186
980,5,1,187
980,22,1,187
980,9,3,187
980,23,3,187
981,48,3,188
982,368,1,189
982,202,1,189
982,40,3,189
982,86,3,189
983,102,2,190
983,0,2,190
984,72,3,191
984,63,2,191
984,417,2,191
984,350,2,191
984,103,3,191
984,96,2,191
985,279,3,192
986,447,3,193
986,263,3,193
986,294,1,193
986,318,2,193
986,169,2,193
986,115,2,193
987,61,1,194
988,11,1,195
988,180,3,195
989,0,1,196
990,188,2,197
990,22,2,197
990,165,3,197
990,23,1,197
990,34,1,197
991,32,2,198
992,449,2,199
992,13,3,199
992,6,3,199
992,174,2,199
992,31,1,199
992,316,1,199
992,258,2,199
992,24,2,199
993,102,2,200
993,162,1,200
994,44,3,201
994,5,1,201
994,121,1,201
994,472,2,201
994,120,1,201
994,107,1,201
994,52,1,201
994,3,1,201
994,97,2,201
994,36,3,201
994,220,3,201
994,355,1,201
994,327,1,201
994,148,2,201
994,42,2,201
994,172,3,201
994,202,3,201
994,151,2,201
994,344,1,201
994,49,1,201
994,280,1,201
994,20,1,201
994,11,3,201
994,68,1,201
995,177,3,202
995,10,2,202
995,40,3,202
996,139,1,203
997,38,2,204
997,27,2,204
997,11,3,204
997,10,3,204
998,9,1,205
999,180,1,206
1000,6,2,207
1000,103,2,207
1000,76,3,207
1000,110,2,207
1000,336,3,207
1000,478,2,207
1000,399,1,207
1000,69,2,207
1000,24,1,207
1000,115,3,207
1000,41,2,207
1000,162,2,207
1000,113,2,207
1000,165,2,207
1001,142,1,208
1001,325,2,208
1002,16,2,209
1002,61,1,209
1003,98,1,210
1003,3,1,210
1003,0,1,210
1004,87,2,211
1004,18,1,211
1004,267,2,211
1004,107,2,211
1004,78,2,211
1004,463,1,211
1004,6,1,211
1005,4,3,212
1006,32,2,213
1007,203,1,214
1008,25,2,215
1008,2,2,215
1009,72,2,216
1010,315,1,217
1010,8,3,217
1010,4,3,217
1010,6,1,217
1010,99,3,217
1010,11,3,217
1010,216,2,217
1011,1,3,218
1011,30,1,218
1011,29,3,218
1011,373,3,218
1011,203,1,218
1011,351,2,218
1011,66,2,218
1011,473,2,218
1011,158,3,218
1011,177,2,218
1011,465,2,218
1011,114,2,218
1011,50,3,218
1011,160,2,218
1011,15,2,218
1011,26,3,218
1011,14,3,218
1012,22,3,219
1012,42,3,219
1013,92,2,220
1013,112,2,220
1014,27,1,221
1014,3,1,221
1015,28,1,222
1015,13,2,222
1015,62,1,222
1015,211,2,222
1016,66,3,223
1016,209,2,223
1016,9,1,223
1016,389,3,223
1016,100,3,223
1016,369,3,223
1016,191,2,223
1016,0,1,223
1017,197,1,224
1017,172,2,224
1017,52,3,224
1017,0,3,224
1018,26,1,225
1018,75,1,225
1018,33,2,225
1018,9,1,225
1018,178,3,225
1018,128,1,225
1019,9,3,226
1019,82,2,226
1019,348,2,226
1019,116,1,226
1019,10,2,226
1019,196,2,226
1020,33,3,227
1020,35,1,227
1020,38,1,227
1021,187,3,228
1021,34,2,228
1021,28,2,228
1021,233,2,228
1021,9,2,228
1022,96,3,229
1023,77,2,230
1023,2,2,230
1024,11,2,231
1024,5,2,231
1024,13,1,231
1025,30,1,232
1025,164,2,232
1025,473,1,232
1025,9,1,232
1025,109,2,232
1025,352,2,232
1025,234,3,232
1025,116,2,232
1025,118,3,232
1026,109,2,233
1027,1,1,234
1027,285,3,234
1027,345,2,234
1027,12,1,234
1027,3,3,234
1027,196,3,234
1027,15,2,234
1028,35,1,235
1028,4,3,235
1029,10,1,236
1029,27,3,236
1030,211,1,237
1031,439,3,238
1031,352,1,238
1031,455,2,238
1031,41,2,238
1031,183,2,238
1032,435,1,239
1032,266,1,239
1032,176,3,239
1032,95,1,239
1032,53,2,239
1032,41,3,239
1032,33,3,239
1033,73,2,240
1033,5,3,240
1033,11,3,240
1033,12,1,240
1033,391,1,240
1033,84,2,240
1033,108,1,240
1033,436,2,240
1034,10,1,241
1035,278,3,242
1035,189,1,242
1035,191,2,242
1036,207,3,243
1036,458,1,243
1036,88,1,243
1037,34,2,244
1038,151,3,245
1038,116,2,245
1039,90,1,246
1039,183,1,246
1040,117,2,247
1041,331,3,248
1042,42,1,249
1043,43,1,250
1043,37,2,250
1043,482,2,250
1044,2,2,251
1044,64,1,251
1045,1,1,252
1045,445,2,252
1045,120,3,252
1046,2,3,253
1046,174,2,253
1047,33,2,254
1047,109,2,254
1047,332,3,254
1047,237,3,254
1047,84,3,254
1048,33,3,255
1048,187,2,255
1049,37,2,256
1049,11,2,256
1049,145,1,256
1049,8,2,256
1050,254,2,257
1050,63,3,257
1050,10,1,257
1050,389,1,257
1051,46,1,258
1052,144,1,259
1052,216,1,259
1052,60,2,259
1052,48,1,259
1052,41,3,259
1052,9,2,259
1052,19,3,259
1053,40,3,260
1054,136,2,261
1054,325,2,261
1054,148,1,261
1054,299,1,261
1054,44,1,261
1055,13,2,262
1055,153,1,262
1056,6,1,263
1057,19,3,264
1057,40,1,264
1058,315,2,265
1058,120,3,265
1058,196,2,265
1058,349,2,265
1059,274,2,266
1059,335,2,266
1059,167,2,266
1059,12,2,266
1059,0,3,266
1059,42,2,266
1059,49,2,266
1060,12,3,267
1061,194,1,268
1061,493,2,268
1061,399,3,268
1061,407,1,268
1061,112,3,268
1062,23,2,269
1062,76,1,269
1062,84,3,269
1062,21,1,269
1062,11,3,269
1062,1,3,269
1062,335,1,269
1062,158,3,269
1063,15,1,270
1063,291,2,270
1063,46,1,270
1063,122,3,270
1063,227,1,270
1064,15,2,271
1064,42,2,271
1064,33,2,271
1064,14,3,271
1064,150,3,271
1064,310,1,271
1064,111,1,271
1064,291,1,271
1064,76,3,271
1064,2,2,271
1065,3,1,272
1065,28,1,272
1065,137,2,272
1065,45,2,272
1065,10,2,272
1066,85,2,273
1066,191,1,273
1066,474,1,273
1066,150,3,273
1066,134,3,273
1066,445,1,273
1067,38,3,274
1068,9,2,275
1069,165,2,276
1070,169,3,277
1070,60,1,277
1070,33,2,277
1070,14,3,277
1070,7,2,277
1070,420,2,277
1070,117,1,277
1071,84,1,278
1072,11,2,279
1072,320,1,279
1072,368,3,279
1072,350,3,279
1072,75,2,279
1073,143,1,280
1073,10,1,280
1073,184,3,280
1074,34,1,281
1074,256,3,281
1074,177,1,281
1074,248,3,281
1075,5,3,282
1076,43,1,283
1076,89,3,283
1076,80,3,283
1077,13,1,284
1077,148,3,284
1077,203,3,284
1077,176,3,284
1077,25,1,284
1077,190,3,284
1077,455,2,284
1078,39,2,285
1078,484,2,285
1078,23,2,285
1079,17,1,286
1079,170,3,286
1079,118,1,286
1079,478,2,286
1079,407,1,286
1079,108,2,286
1080,184,3,287
1080,1,3,287
1080,14,1,287
1081,2,2,288
1081,25,3,288
1082,29,3,289
1083,2,3,290
1083,131,1,290
1083,46,3,290
1083,296,1,290
1083,279,2,290
1083,404,1,290
1083,66,2,290
1083,145,3,290
1083,265,2,290
1084,132,3,291
1084,154,1,291
1084,101,2,291
1085,10,1,292
1085,260,2,292
1085,306,3,292
1086,436,2,293
1087,296,1,294
1087,97,3,294
1087,14,1,294
1087,12,1,294
1087,3,1,294
1087,5,1,294
1087,4,2,294
1088,153,3,295
1088,200,1,295
1088,401,2,295
1089,113,1,296
1089,106,2,296
1089,39,1,296
1090,15,1,297
1090,7,3,297
1090,24,3,297
1090,255,2,297
1090,125,3,297
1091,146,1,298
1092,103,1,299
1093,18,3,300
1093,63,1,300
1093,31,1,300
1093,105,3,300
1093,177,2,300
1093,180,3,300
1093,146,2,300
1094,35,3,301
1095,3,1,302
1095,12,2,302
1096,13,3,303
1096,205,2,303
1096,128,2,303
1096,247,2,303
1097,312,2,304
1097,140,2,304
1097,142,3,304
1098,44,3,305
1099,296,2,306
1099,171,2,306
1100,36,3,307
1100,13,1,307
1100,16,1,307
1100,3,3,307
1100,0,3,307
1100,41,1,307
1100,183,2,307
1100,203,2,307
1100,2,1,307
1100,69,1,307
1101,31,1,308
1101,185,3,308
1101,28,3,308
1102,195,2,309
1102,498,2,309
1102,62,1,309
1102,34,3,309
1103,482,1,310
1103,488,2,310
1103,180,2,310
1104,322,1,311
1104,27,3,311
1104,56,2,311
1104,365,3,311
1104,96,3,311
1104,61,3,311
1105,15,2,312
1105,26,2,312
1105,68,2,312
1105,139,2,312
1105,138,3,312
1106,22,3,313
1106,5,2,313
1107,35,1,314
1107,14,1,314
1107,140,1,314
1107,155,1,314
1107,5,2,314
1107,26,3,314
1108,2,1,315
1109,0,2,316
1109,185,2,316
1109,24,1,316
1110,2,2,317
1110,162,2,317
1111,9,3,318
1112,49,3,319
1112,7,2,319
1112,18,2,319
1112,98,1,319
1112,259,3,319
1112,227,2,319
1112,462,3,319
1113,1,2,320
1114,112,1,321
1114,3,2,321
1115,72,1,322
1115,254,3,322
1115,323,1,322
1116,69,1,323
1116,35,1,323
1117,36,1,324
1118,9,2,325
1118,200,3,325
1119,315,2,326
1120,367,1,327
1120,3,3,327
1120,130,1,327
1120,472,1,327
1120,435,3,327
1120,473,1,327
1120,179,2,327
1121,32,2,328
1121,73,3,328
1121,28,3,328
1122,194,1,329
1122,120,3,329
1122,128,3,329
1122,42,1,329
1123,8,3,330
1123,13,3,330
1124,125,2,331
1124,21,1,331
1124,244,3,331
1124,95,2,331
1124,331,3,331
1124,57,2,331
1124,149,1,331
1124,437,2,331
1124,77,1,331
1125,23,1,332
1125,3,1,332
1125,42,2,332
1125,169,2,332
1126,45,2,333
1126,238,3,333
1126,152,3,333
1126,455,2,333
1126,255,1,333
1126,42,1,333
1127,103,1,334
1128,6,1,335
1129,31,1,336
1129,95,1,336
1130,74,1,337
1131,4,2,338
1131,0,2,338
1131,17,2,338
1132,174,3,339
1132,44,2,339
1133,0,3,340
1133,46,2,340
1133,30,3,340
1134,344,1,341
1134,3,3,341
1134,71,3,341
1134,258,2,341
1134,65,2,341
1135,449,1,342
1135,7,2,342
1135,47,1,342
1135,43,3,342
1135,8,2,342
1135,25,1,342
1135,467,1,342
1135,9,2,342
1136,39,3,343
1136,10,1,343
1136,1,3,343
1136,315,2,343
1136,42,3,343
1136,44,3,343
1136,8,1,343
1136,36,2,343
1136,422,1,343
1136,192,1,343
1136,473,2,343
1137,47,3,344
1137,438,1,344
1138,1,1,345
1139,10,2,346
1139,135,1,346
1140,15,2,347
1140,29,2,347
1140,27,2,347
1140,130,2,347
1141,55,2,348
1141,16,1,348
1141,304,3,348
1141,120,1,348
1141,1,3,348
1141,41,3,348
1142,172,3,349
1143,111,3,350
1143,195,2,350
1143,490,2,350
1144,45,3,351
1145,74,2,352
1146,312,2,353
1147,4,1,354
1148,16,3,355
1149,10,1,356
1150,27,2,357
1150,20,1,357
1151,0,1,358
1152,474,1,359
1152,447,3,359
1152,127,1,359
1152,135,1,359
1153,191,3,360
1153,356,3,360
1153,105,3,360
1153,247,3,360
1154,3,1,361
1154,482,3,361
1154,273,2,361
1154,12,2,361
1154,83,3,361
1154,0,2,361
1154,153,1,361
1154,322,3,361
1155,1,1,362
1155,38,2,362
1156,33,1,363
1156,256,1,363
1157,33,1,364
1157,24,3,364
1157,48,2,364
1157,36,2,364
1157,19,2,364
1157,73,2,364
1157,28,2,364
1158,14,1,365
1158,423,1,365
1158,306,3,365
1158,473,2,365
1158,352,2,365
1159,61,1,366
1159,25,2,366
1159,353,3,366
1159,36,1,366
1159,91,1,366
1160,176,1,367
1160,8,1,367
1160,45,1,367
1161,332,2,368
1162,9,3,369
1162,24,3,369
1162,78,3,369
1162,214,2,369
1162,103,1,369
1162,11,3,369
1162,3,1,369
1163,3,2,370
1163,5,3,370
1163,261,2,370
1163,462,1,370
1163,104,1,370
1163,76,2,370
1163,136,3,370
1164,109,2,371
1165,90,1,372
1166,91,3,373
1166,5,3,373
1167,225,3,374
1167,25,2,374
1167,23,2,374
1167,31,1,374
1168,26,2,375
1169,10,1,376
1169,22,1,376
1170,24,2,377
1170,49,3,377
1171,62,3,378
1171,447,1,378
1172,164,2,379
1172,2,2,379
1172,35,2,379
1172,143,1,379
1172,478,1,379
1172,161,3,379
1172,19,3,379
1173,118,3,380
1173,356,2,380
1173,194,2,380
1174,214,3,381
1174,3,2,381
1174,51,2,381
1174,32,1,381
1174,225,1,381
1174,210,3,381
1175,11,2,382
1175,2,1,382
1175,213,1,382
1175,276,1,382
1176,111,1,383
1176,144,1,383
1176,57,3,383
1176,34,1,383
1176,2,2,383
1176,114,1,383
1176,4,2,383
1176,0,3,383
1176,137,2,383
1176,423,1,383
1177,33,1,384
1177,100,2,384
1177,341,3,384
1178,27,1,385
1179,17,1,386
1179,8,1,386
1180,291,3,387
1180,11,3,387
1181,3,1,388
1181,14,2,388
1182,10,3,389
1183,42,1,390
1183,81,3,390
1183,39,1,390
1184,103,1,391
1184,299,3,391
1185,2,2,392
1185,9,2,392
1185,4,3,392
1186,118,1,393
1187,186,1,394
1187,6,2,394
1187,1,2,394
1187,4,3,394
1187,237,2,394
1187,48,1,394
1188,42,3,395
1188,466,2,395
1189,2,1,396
1189,40,3,396
1189,248,1,396
1189,215,3,396
1189,232,2,396
1190,45,2,397
1190,44,1,397
1191,14,3,398
1192,220,2,399
1193,6,1,400
1193,114,1,400
1193,290,2,400
1194,1,1,401
1195,465,3,402
1195,20,2,402
1195,145,2,402
1195,4,3,402
1196,0,1,403
1196,69,3,403
1197,10,2,404
1198,66,1,405
1198,288,2,405
1198,277,3,405
1199,14,2,406
1199,48,3,406
1199,22,3,406
1199,25,3,406
1199,353,2,406
1200,40,2,407
1200,3,3,407
1200,12,2,407
1201,318,3,408
1202,146,1,409
1203,263,3,410
1204,104,3,411
1205,142,3,412
1205,327,2,412
1205,271,2,412
1206,373,1,413
1206,206,3,413
1206,214,3,413
1206,103,2,413
1207,10,3,414
1208,40,2,415
1208,67,2,415
1208,2,3,415
1209,92,2,416
1209,209,1,416
1209,224,3,416
1210,47,1,417
1210,62,1,417
1210,8,3,417
1211,99,2,418
1211,6,2,418
1211,81,2,418
1211,18,3,418
1211,148,2,418
1211,312,1,418
1212,207,2,419
1212,286,2,419
1213,1,2,420
1213,10,2,420
1214,348,1,421
1214,166,3,421
1215,23,1,422
1216,27,3,423
1216,175,3,423
1216,280,1,423
1216,21,2,423
1216,84,1,423
1217,236,1,424
1217,160,2,424
1217,140,3,424
1217,35,3,424
1217,209,3,424
1217,164,2,424
1217,1,3,424
1218,2,2,425
1219,47,3,426
1219,79,2,426
1219,72,1,426
1219,54,1,426
1219,16,1,426
1219,3,3,426
1219,12,2,426
1219,180,3,426
1220,52,1,427
1221,80,2,428
1221,359,1,428
1222,266,1,429
1222,349,3,429
1222,223,3,429
1222,152,2,429
1222,215,1,429
1222,243,3,429
1222,5,1,429
1223,43,2,430
1224,34,1,431
1224,35,2,431
1224,17,3,431
1225,8,2,432
1225,25,1,432
1225,23,1,432
1225,75,1,432
1225,123,2,432
1225,232,3,432
1225,463,1,432
1225,70,3,432
1225,249,2,432
1225,11,2,432
1226,44,3,433
1226,83,3,433
1226,40,1,433
1226,1,2,433
1227,0,2,434
1227,53,3,434
1227,215,2,434
1227,323,1,434
1227,153,1,434
1227,198,1,434
1227,244,2,434
1227,352,1,434
1227,39,2,434
1227,401,3,434
1227,10,3,434
1227,223,2,434
1227,8,3,434
1227,14,3,434
1227,1,2,434
1227,40,3,434
1228,280,1,435
1229,30,3,436
1230,30,3,437
1230,104,1,437
1230,103,2,437
1230,214,1,437
1230,3,3,437
1230,6,3,437
1230,92,3,437
1230,18,2,437
1230,109,2,437
1231,16,3,438
1231,50,3,438
1231,20,2,438
1231,228,3,438
1231,323,3,438
1232,320,3,439
1233,32,1,440
1233,68,1,440
1233,42,3,440
1234,42,1,441
1235,81,3,442
1235,83,3,442
1235,44,3,442
1235,45,3,442
1235,10,3,442
1235,206,2,442
1235,24,1,442
1236,233,3,443
1237,167,1,444
1237,180,2,444
1237,295,1,444
1237,496,3,444
1238,36,2,445
1238,396,1,445
1238,135,3,445
1238,170,1,445
1239,29,2,446
1239,34,1,446
1239,17,3,446
1239,47,2,446
1239,176,2,446
1239,356,2,446
1240,35,1,447
1240,34,2,447
1240,58,1,447
1241,177,2,448
1241,249,1,448
1242,197,2,449
1242,27,2,449
1242,78,1,449
1242,39,3,449
1242,190,3,449
1243,43,1,450
1244,225,3,451
1244,484,2,451
1245,178,3,452
1246,28,3,453
1247,47,3,454
1247,25,1,454
1247,198,2,454
1247,264,2,454
1248,8,3,455
1249,436,3,456
1249,40,1,456
1249,13,1,456
1250,42,3,457
1251,0,1,458
1251,53,2,458
1251,102,1,458
1251,284,2,458
1251,132,2,458
1251,109,1,458
1251,12,2,458
1251,112,2,458
1251,301,3,458
1251,37,1,458
1251,33,1,458
1251,299,2,458
1251,2,1,458
1251,23,3,458
1252,3,1,459
1252,196,3,459
1252,23,3,459
1253,11,2,460
1253,8,1,460
1253,46,3,460
1253,1,2,460
1253,15,3,460
1254,233,2,461
1255,106,3,462
1255,172,2,462
1255,87,1,462
1255,197,1,462
1255,447,1,462
1255,16,2,462
1256,98,3,463
1256,322,3,463
1257,167,3,464
1258,1,2,465
1258,125,1,465
1258,62,3,465
1258,165,1,465
1258,157,1,465
1258,37,2,465
1258,6,1,465
1259,104,2,466
1260,48,3,467
1260,355,1,467
1260,99,2,467
1260,349,3,467
1261,193,3,468
1261,189,1,468
1261,184,3,468
1261,58,1,468
1261,277,1,468
1261,294,1,468
1261,498,1,468
1261,163,3,468
1261,13,1,468
1261,71,3,468
1261,11,2,468
1261,15,1,468
1261,28,2,468
1261,134,1,468
1262,17,1,469
1262,79,3,469
1262,49,3,469
1263,2,1,470
1263,370,1,470
1263,482,2,470
1263,260,1,470
1264,127,1,471
1264,48,3,471
1264,36,3,471
1264,58,2,471
1264,352,2,471
1265,16,1,472
1265,34,3,472
1265,2,2,472
1266,13,2,473
1266,14,2,473
1267,2,2,474
1268,27,2,475
1268,26,3,475
1268,39,1,475
1268,259,3,475
1268,101,2,475
1269,136,2,476
1269,146,3,476
1270,21,2,477
1270,4,3,477
1270,34,1,477
1271,49,1,478
1271,360,1,478
1272,37,3,479
1272,0,1,479
1272,16,3,479
1273,29,1,480
1274,0,1,481
1274,10,2,481
1274,7,1,481
1275,12,1,482
1275,0,2,482
1275,322,1,482
1276,7,3,483
1277,72,3,484
1277,478,2,484
1277,29,3,484
1278,79,2,485
1279,318,2,486
1279,31,2,486
1280,88,3,487
1280,448,2,487
1281,54,1,488
1281,213,3,488
1281,25,1,488
1281,71,1,488
1281,177,3,488
1281,123,3,488
1281,27,1,488
1282,498,2,489
1282,2,1,489
1282,9,1,489
