pod_id,used_slots,total_slots,empty_slots,total_boxes,total_items,total_weight,num_classes,classes
45,17,17,0,25,132,78.35600000000005,2,3|4
46,17,17,0,25,198,88.28400000000005,2,3|4
47,17,17,0,25,113,81.20000000000003,2,3|4
48,17,17,0,25,266,81.12200000000006,2,3|4
49,17,17,0,25,158,93.52200000000005,2,3|4
50,17,17,0,25,299,63.44199999999999,2,3|4
51,17,17,0,25,142,80.95000000000005,2,3|4
52,17,17,0,25,160,68.95400000000001,2,3|4
53,17,17,0,25,157,91.89500000000005,2,3|4
54,17,17,0,25,151,114.03000000000003,2,3|4
55,17,17,0,26,195,81.27000000000004,2,3|4
56,17,17,0,26,207,69.99400000000001,2,3|4
57,17,17,0,25,116,100.30000000000005,2,3|4
58,17,17,0,26,141,99.13000000000005,2,3|4
59,17,17,0,27,244,102.16000000000004,2,3|4
60,17,17,0,22,194,75.04200000000002,2,3|4
61,17,17,0,19,259,94.702,1,3
62,17,17,0,17,222,100.99899999999998,1,3
63,17,17,0,17,249,117.57199999999997,1,3
64,17,17,0,18,312,114.742,1,3
65,17,17,0,21,433,138.664,1,3
66,17,17,0,30,229,189.356,1,3
67,17,17,0,17,240,81.39,1,3
68,17,17,0,17,235,71.935,1,3
69,17,17,0,17,280,86.162,1,3
70,17,17,0,17,250,89.44999999999999,1,3
71,17,17,0,17,201,75.406,1,3
72,17,17,0,17,321,67.654,1,3
73,17,17,0,17,310,76.19800000000001,1,3
74,17,17,0,18,190,84.94200000000001,1,3
75,17,17,0,27,184,76.19600000000001,1,3
76,17,17,0,153,171,44.889,1,3
77,17,17,0,25,283,80.65600000000005,2,0|4
78,17,17,0,25,168,84.49200000000005,2,0|4
79,17,17,0,25,235,60.533999999999985,2,0|4
80,17,17,0,25,384,90.57200000000006,2,0|4
81,17,17,0,25,154,81.68000000000004,2,0|4
82,17,17,0,25,108,102.56000000000006,2,0|4
83,17,17,0,27,180,101.06600000000005,2,0|4
84,17,17,0,27,164,76.57000000000005,2,0|4
85,17,17,0,29,164,69.35800000000002,2,0|4
86,17,17,0,25,146,89.70800000000006,2,0|4
87,17,17,0,25,203,87.07800000000005,2,0|4
88,17,17,0,25,206,87.03200000000002,2,0|4
89,17,17,0,25,200,85.49800000000005,2,0|4
90,17,17,0,25,188,108.75000000000004,2,0|4
91,17,17,0,25,220,86.39000000000006,2,0|4
92,17,17,0,25,180,73.63400000000004,2,0|4
93,17,17,0,26,182,96.14800000000005,2,0|4
94,17,17,0,26,232,89.77000000000004,2,0|4
95,17,17,0,25,160,86.58000000000006,2,0|4
96,17,17,0,26,208,100.61800000000005,2,0|4
97,17,17,0,27,212,92.83200000000005,2,0|4
98,17,17,0,26,163,86.80800000000005,2,0|4
99,17,17,0,26,168,89.54400000000004,2,0|4
100,17,17,0,25,214,81.08000000000006,2,0|4
101,17,17,0,25,137,94.87000000000003,2,0|4
102,17,17,0,27,105,69.96000000000002,2,0|4
103,17,17,0,28,165,75.68000000000004,2,0|4
104,17,17,0,27,198,119.26200000000006,2,0|4
105,17,17,0,30,225,64.43999999999998,2,0|4
106,17,17,0,30,203,120.05800000000005,2,0|4
107,17,17,0,28,232,145.85000000000005,2,0|4
108,17,17,0,25,208,71.10000000000002,2,0|4
109,17,17,0,25,130,75.80800000000005,2,0|4
110,17,17,0,20,192,96.44800000000002,2,0|4
111,17,17,0,17,386,83.80000000000001,1,0
112,17,17,0,17,292,88.556,1,0
113,17,17,0,17,219,102.69399999999999,1,0
114,17,17,0,20,239,70.49799999999999,1,0
115,17,17,0,29,226,107.30199999999999,1,0
116,17,17,0,37,136,93.893,1,0
117,17,17,0,168,203,37.400000000000006,1,0
118,17,17,0,35,114,107.54000000000005,2,2|4
119,17,17,0,31,250,143.10000000000005,2,2|4
120,17,17,0,28,211,89.79000000000005,2,2|4
121,17,17,0,25,130,71.97000000000003,2,2|4
122,17,17,0,27,179,76.41000000000005,2,2|4
123,17,17,0,26,157,71.23000000000003,2,2|4
124,17,17,0,30,96,90.16600000000005,2,2|4
125,17,17,0,27,139,63.673999999999985,2,2|4
126,17,17,0,30,107,83.12600000000005,2,2|4
127,17,17,0,25,73,41.43599999999999,2,2|4
128,17,17,0,25,137,73.25000000000004,2,2|4
129,17,17,0,34,196,98.60000000000005,2,2|4
130,17,17,0,34,139,48.86999999999999,2,2|4
131,17,17,0,34,120,69.26000000000002,2,2|4
132,17,17,0,34,144,87.37000000000005,2,2|4
133,17,17,0,33,177,82.36000000000004,2,2|4
134,17,17,0,34,135,96.85000000000005,2,2|4
135,17,17,0,34,142,104.63000000000005,2,2|4
136,17,17,0,34,145,63.79999999999998,2,2|4
137,17,17,0,34,141,72.33000000000003,2,2|4
138,17,17,0,34,142,71.66000000000004,2,2|4
139,17,17,0,34,146,41.79399999999999,2,2|4
140,17,17,0,34,114,81.39200000000005,2,2|4
141,17,17,0,43,104,54.139999999999986,2,2|4
142,17,17,0,32,352,158.15200000000004,2,2|4
143,17,17,0,29,274,157.90400000000002,2,2|4
144,17,17,0,29,205,113.88000000000005,2,2|4
145,17,17,0,31,247,139.68000000000006,2,2|4
146,17,17,0,29,264,146.63000000000002,2,2|4
147,17,17,0,29,292,137.07000000000002,2,2|4
148,17,17,0,29,330,134.19000000000003,2,2|4
149,17,17,0,25,168,66.63,2,2|4
150,17,17,0,23,220,44.85999999999999,2,2|4
151,17,17,0,17,240,110.91199999999999,1,2
152,17,17,0,17,295,62.3,1,2
153,17,17,0,25,162,82.85,1,2
154,17,17,0,63,181,67.14799999999998,1,2
155,17,17,0,74,195,64.98999999999998,1,2
156,17,17,0,79,228,63.98999999999999,1,2
157,17,17,0,81,227,105.58999999999997,1,2
158,17,17,0,253,264,253.81,1,2
