item_code,rop_global,rop_per_slot,n_slots,S_total
14500067001,64,22,3,216
10023043001,1,1,1,16
11050059001,2,2,1,24
14620903001,2,2,1,48
11041024001,3,3,1,96
11050019001,1,1,1,24
14311113001,3,3,1,40
12123898001,2,2,1,24
14200090001,2,2,1,96
14602101001,1,1,1,450
14204899001,3,3,1,40
14370054001,4,4,1,48
14832012001,14,14,1,192
14103155001,3,2,2,8
14612075001,6,6,1,24
11100111001,1,1,1,36
11110060001,3,3,1,60
14304001001,2,2,1,24
30073022001,1,1,1,40
41417001001,1,1,1,240
14510103001,4,4,1,24
14226035001,4,4,1,360
12100023001,3,3,1,144
11020001001,1,1,1,28
14601047001,2,2,1,48
14120054001,3,3,1,32
12001080001,2,2,1,24
14104102001,3,3,1,24
32503007003,1,1,1,96
11103114001,4,4,1,12
10030019001,34,12,3,144
12011182001,1,1,1,72
12122034001,2,2,1,72
14200133001,1,1,1,24
12011122001,1,1,1,24
14833063001,1,1,1,240
12005092002,1,1,1,32
11040004001,2,2,1,48
14244929001,3,3,1,72
14225008001,1,1,1,288
14830045001,7,7,1,240
12017039001,1,1,1,48
14226007001,3,3,1,30
14510225001,1,1,1,24
12104001001,1,1,1,360
14353073001,3,3,1,12
14110163001,2,2,1,24
12012046001,1,1,1,96
14210216001,1,1,1,48
32524032001,1,1,1,50
10041076001,1,1,1,144
14506139001,2,2,1,12
12003065001,1,1,1,72
14616019001,2,2,1,6
11103238001,1,1,1,24
11075039001,1,1,1,24
14020949001,2,2,1,12
14851072001,4,2,2,24
14242083001,2,2,1,40
14361137001,1,1,1,24
12034086001,2,2,1,144
11010001001,2,2,1,24
12123108001,1,1,1,48
11103027001,2,2,1,12
14302005001,2,2,1,16
14002003001,3,3,1,24
10024010001,46,46,1,144
14612916001,2,2,1,24
14121075001,2,2,1,48
12011019001,1,1,1,24
11071898001,4,4,1,48
12123015001,3,3,1,24
14620051001,2,2,1,48
14104060001,2,2,1,48
14021021001,6,2,3,18
12120030001,3,3,1,144
12034104001,2,2,1,72
14523031001,2,2,1,48
14613939001,8,8,1,24
12001018001,1,1,1,144
12201897001,2,2,1,60
31502034001,2,2,1,90
11050095001,1,1,1,48
11074004001,1,1,1,144
14353002001,2,2,1,24
42613064001,1,1,1,70
12010221001,1,1,1,288
14340006001,2,2,1,96
14506150001,2,2,1,12
12000103001,1,1,1,48
42607128001,1,1,1,120
12006144001,1,1,1,720
14520066001,2,2,1,192
12005092009,1,1,1,32
41522003001,3,1,9,9
14350001001,3,3,1,20
12103005001,1,1,1,144
14631054001,1,1,1,144
35752005001,1,1,1,96
11112017001,1,1,1,144
11021026001,2,2,1,8
10040018001,18,5,4,64
12020028001,1,1,1,144
11100107001,1,1,1,8
14315003001,2,2,1,48
14811006001,8,8,1,96
12020339001,1,1,1,40
14362019001,4,4,1,30
12000270001,1,1,1,64
12105002001,1,1,1,24
11075012001,1,1,1,72
41401022001,1,1,1,50
14804016001,14,14,1,144
12002009001,1,1,1,48
14510148001,2,2,1,24
12002096001,1,1,1,36
11041027001,2,2,1,72
14611025001,2,2,1,24
14700029001,2,2,1,36
12110028001,2,2,1,48
11041019001,2,2,1,90
14010048001,2,2,1,24
14001019001,3,3,1,10
14361114001,6,6,1,24
14502016001,19,19,1,120
14102115001,3,3,1,24
12005109003,1,1,1,72
14223176001,3,3,1,96
12002158001,1,1,1,48
14830048001,3,3,1,288
12201896001,48,16,3,180
14508017001,5,5,1,24
14111037001,6,6,1,24
12105018001,1,1,1,48
14601026001,5,5,1,48
14130016001,7,4,2,48
30013004001,1,1,1,240
14505138001,51,13,4,192
14501016001,35,18,2,144
10035021001,267,15,19,912
12004218001,1,1,1,96
30045078002,2,2,1,120
14132003001,6,6,1,20
31567052001,3,3,1,48
12220013001,5,2,4,16
12004053001,1,1,1,144
12010137001,3,3,1,24
12016130001,1,1,1,288
14202021001,3,3,1,72
12103021001,1,1,1,144
12021993001,1,1,1,216
12202006001,3,2,2,8
14241025001,1,1,1,120
14621041001,13,7,2,48
12111034001,1,1,1,480
14522051001,3,3,1,192
12010147001,1,1,1,120
11103187001,1,1,1,12
10011016001,120,60,2,432
14001060001,11,11,1,96
10032019001,163,55,3,864
14131081001,10,5,2,48
11050134001,1,1,1,32
14613024001,3,3,1,24
14832009001,1,1,1,192
14000033001,6,6,1,48
10035041001,18,18,1,192
10002005001,97,33,3,432
14502047001,30,30,1,120
10040032001,172,43,4,576
14100021001,6,6,1,20
12031127001,1,1,1,600
10002006001,55,4,16,192
11031027001,1,1,1,48
14731899001,1,1,1,48
12020138001,1,1,1,216
12011033001,10,4,3,36
10034014001,109,55,2,432
11032229001,2,2,1,48
10040063001,511,29,18,1728
14303933001,2,2,1,24
12022047001,1,1,1,270
14102009001,4,2,2,16
14242210001,1,1,1,120
12006020001,1,1,1,960
11050004001,6,3,2,32
12000059001,5,3,2,24
10010027001,122,122,1,432
12103135001,1,1,1,576
14244020001,36,18,2,240
10031033001,94,24,4,384
14100012001,7,7,1,24
10001022001,29,10,3,144
10033074001,107,14,8,384
10002008001,540,60,9,2160
14200018001,2,2,1,80
10031004001,56,12,5,240
12000036001,1,1,1,24
35301023001,1,1,1,48
14131025001,12,4,3,48
14361099001,9,5,2,48
14621017001,1,1,1,4
14311043001,6,6,1,16
10040072001,4,4,1,48
14023034001,2,2,1,12
14805005001,15,15,1,144
14505041001,174,44,4,800
10002992001,13,3,6,48
14615017001,16,6,3,72
10011008001,4,4,1,40
14510041001,19,7,3,72
14244087001,1,1,1,96
14804010001,31,31,1,192
10040058001,83,14,6,288
14506056001,5,5,1,24
14312999001,3,3,1,96
14014015001,48,4,15,180
14820014001,33,33,1,192
10021006001,278,12,25,1200
14223018001,3,3,1,48
14226002001,4,4,1,72
10034003001,174,58,3,864
10014113001,35,35,1,144
11050012001,3,3,1,24
12020147001,2,2,1,144
14506090001,4,4,1,24
14010039001,2,2,1,60
14001052001,12,6,2,48
14244077001,1,1,1,16
14023003001,3,3,1,12
14351034001,4,4,1,18
14506070001,3,3,1,24
32517009001,1,1,1,20
14132031001,10,5,2,48
14000027001,6,3,2,20
12103013001,1,1,1,192
14243061001,2,2,1,96
11103022001,17,4,5,60
14001118001,7,7,1,80
10052020001,5,5,1,48
14023252001,3,2,2,16
31533005001,4,4,1,72
14501004001,63,21,3,360
14510107001,19,7,3,72
14505031001,26,6,5,120
14502054001,18,9,2,64
12100019001,1,1,1,144
14503002001,13,13,1,120
10033056001,70,24,3,288
10002072001,8,8,1,24
14243021001,1,1,1,96
14500037001,12,2,8,48
14001093001,14,4,4,48
11103136001,20,3,7,84
14000041001,6,6,1,24
35307910001,1,1,1,48
11101009001,1,1,1,12
14200047001,3,3,1,60
14011034001,14,5,3,60
14011011001,4,4,1,24
11111017001,9,3,4,32
10021026001,64,6,12,288
12123044001,1,1,1,54
12320018001,3,3,1,384
12010097001,1,1,1,288
12327046001,1,1,1,8
32600042001,1,1,1,20
14010072001,5,3,2,24
10012006001,36,36,1,576
10020002001,23,23,1,216
12002023001,3,3,1,24
14111002001,3,3,1,24
12102108001,1,1,1,216
14104085001,5,5,1,36
10033065001,38,7,6,144
14243044001,4,4,1,96
10002102001,225,38,6,1152
10012907001,23,23,1,288
14603013001,1,1,1,180
10041036001,4,4,1,48
10030016001,35,12,3,144
11021051002,1,1,1,48
14502002001,20,20,1,120
14504001001,32,32,1,120
10021001001,329,47,7,1344
14121115001,13,13,1,40
10030045001,22,11,2,96
12202007001,12,2,11,44
14222046001,4,4,1,40
12103156001,1,1,1,192
15022009001,13,13,1,192
10034050001,84,42,2,288
14630016001,5,5,1,96
12023094001,1,1,1,72
14615108001,4,4,1,96
14003029001,16,8,2,72
10011001001,112,56,2,576
11110101001,1,1,1,32
14011059001,14,5,3,54
10022918001,1,1,1,192
11021095001,1,1,1,24
14616054001,3,3,1,48
14121136001,11,6,2,48
14805004001,48,48,1,192
12103049001,1,1,1,320
14511056001,8,4,2,48
12200006001,433,4,109,1308
14362033001,2,2,1,24
12201099001,3,3,1,60
14833024001,34,34,1,240
15021060001,20,20,1,360
10031031001,155,52,3,720
14510139001,6,3,2,48
12003003001,1,1,1,144
11110031002,1,1,1,32
14010079001,4,4,1,48
15021005001,14,14,1,192
14121020001,13,13,1,60
14833003001,8,8,1,288
12010180001,1,1,1,96
14510109001,7,7,1,24
14011023001,3,3,1,24
11103050001,13,4,4,48
11040035001,7,4,2,48
14014006001,88,2,58,348
14132157001,8,8,1,24
12010058001,2,2,1,288
14001049001,12,4,3,48
10035017001,44,11,4,192
14830007001,8,8,1,240
14244017001,10,3,4,40
11103388001,1,1,1,36
14506066001,2,2,1,192
14100001001,4,4,1,24
14501053001,32,8,4,128
11073032001,1,1,1,96
14510039001,23,5,5,120
14130009001,6,3,2,32
12120052001,14,14,1,72
10033064001,172,43,4,864
14011044001,3,3,1,24
10030048001,107,22,5,480
14222114001,4,4,1,60
14505917001,91,46,2,400
12200017001,53,18,3,225
10002040001,21,4,6,72
11103090001,12,3,4,48
14022003001,5,5,1,24
14500010001,148,8,20,480
12103019001,1,1,1,42
14000010001,5,3,2,20
11061024001,1,1,1,120
14022029001,5,3,2,24
35750013001,4,4,1,72
12023103001,1,1,1,216
10040049001,12,2,7,42
14504055001,47,24,2,240
10020015001,35,35,1,240
11100001001,17,3,7,56
11110085001,4,4,1,24
14615084001,8,3,3,36
10033018001,381,28,14,1344
12020184001,1,1,1,144
11110100001,1,1,1,32
14023295001,5,3,2,24
10031006001,4,4,1,48
14504002001,49,25,2,240
14811007001,5,5,1,32
14522049001,6,6,1,192
11040006001,7,4,2,48
10013005001,92,46,2,576
11070007001,57,15,4,192
14830069001,27,27,1,288
12020404001,1,1,1,108
14001053001,15,4,4,48
10033005001,88,44,2,576
10034039001,52,52,1,216
12326121001,1,1,1,24
12120065001,1,1,1,216
10032011001,79,40,2,480
10001005001,62,31,2,384
12102021001,1,1,1,192
14503019001,98,7,14,336
11072033001,1,1,1,24
12120080001,1,1,1,48
12122017001,1,1,1,72
12011006001,1,1,1,48
10032013001,230,39,6,1296
12201042001,154,22,7,525
14510004001,14,7,2,48
14204041001,10,10,1,40
12123106001,2,2,1,24
12000159001,1,1,1,72
14510133001,4,4,1,24
14130042001,6,6,1,24
14222072001,6,6,1,60
10002942001,19,19,1,192
12001114001,1,1,1,48
10002039001,4,4,1,24
10014127001,1,1,1,96
10035035001,447,64,7,2016
14700026001,3,3,1,48
10015007001,157,40,4,768
14242131001,3,3,1,80
10016018001,4,4,1,48
14500056001,32,7,5,120
15020046001,130,65,2,576
12120005001,1,1,1,48
12020021001,2,2,1,144
11050011001,7,7,1,48
12120040001,1,1,1,18
31215012001,1,1,1,144
14105102001,9,5,2,48
10021010001,20,10,2,96
14000006001,22,3,9,81
12011173001,1,1,1,24
14010149001,4,4,1,32
14023047001,8,4,2,48
14130017001,8,4,2,48
14001047001,21,5,5,80
14204071001,6,6,1,48
12013052001,1,1,1,96
14832018001,59,30,2,384
11103134001,8,3,3,24
14509008001,6,6,1,24
12344036001,1,1,1,400
12100017001,1,1,1,96
11061033001,1,1,1,304
14510069001,5,5,1,24
14001009001,8,4,2,48
14020014001,6,6,1,20
14111036001,8,4,2,24
14023115001,2,2,1,12
10033030001,55,11,5,240
10033043001,204,12,17,816
14502081001,436,40,11,1320
14602013001,3,3,1,324
12006135001,1,1,1,144
10030018001,18,5,4,64
12022070001,1,1,1,64
10035006001,37,37,1,288
10023100001,1,1,1,24
12023278001,1,1,1,144
14000057001,26,3,10,100
14022118001,3,3,1,12
14620014001,17,6,3,72
10040080001,3,3,1,80
10032001001,33,7,5,120
10040094001,12,2,7,42
12201006001,7,7,1,75
10010023001,1,1,1,432
14505102001,2,2,1,80
14121090001,5,5,1,16
14131047001,20,5,4,96
14361100001,7,7,1,24
14000022001,15,15,1,60
11070001001,8,8,1,48
14023056001,80,7,13,312
14204083001,5,5,1,80
14003054001,4,4,1,24
10033015001,88,22,4,384
14820028001,59,30,2,384
10040023001,86,10,9,360
14311112001,11,4,3,36
14506012001,1,1,1,200
14111132001,6,6,1,60
14502015001,35,6,6,144
14311231001,3,3,1,36
14204132001,4,4,1,80
14509021001,3,3,1,72
14833059001,25,25,1,96
14505021001,31,31,1,120
14120020001,4,4,1,48
14120045001,5,5,1,24
12122020001,9,9,1,96
14310053001,1,1,1,24
11103137001,30,5,7,84
14001017001,10,3,4,40
31500006001,8,8,1,72
12020212001,1,1,1,72
14222009001,2,2,1,160
11072011001,3,3,1,24
14111053001,4,4,1,48
14001018001,6,6,1,24
12022114001,1,1,1,288
14023248001,10,10,1,72
12233028001,1,1,1,5
14203001001,4,4,1,60
10040003001,190,8,25,600
31226017001,1,1,1,192
14112054001,5,5,1,20
12016035001,1,1,1,192
14501010001,147,14,11,528
10033054001,57,12,5,240
14104042001,5,5,1,20
61063005002,1,1,1,144
15023017001,87,87,1,288
14001045001,15,4,4,64
14242011001,7,7,1,30
14370002001,6,6,1,60
10032055001,47,47,1,216
14244058001,4,4,1,36
14503013001,87,15,6,288
42613021001,1,1,1,24
10002944001,85,43,2,288
12011098001,1,1,1,24
14804012001,6,3,2,24
14222068001,6,6,1,60
14851032001,1,1,1,6
11051016001,1,1,1,36
12013050001,1,1,1,96
11050017001,3,3,1,16
14502077001,162,15,11,528
14506006001,1,1,1,24
14810016001,62,21,3,288
14330010001,4,2,2,24
14111039001,8,4,2,40
10040039001,44,2,26,156
12102140001,4,4,1,96
14502004001,131,11,12,432
12023273001,1,1,1,480
14613900001,7,7,1,96
12020210001,1,1,1,96
10033049001,19,5,4,64
12120087001,1,1,1,144
14510100001,6,6,1,24
10032008001,167,56,3,864
14244021001,10,4,3,36
14520067001,4,4,1,192
14634023001,1,1,1,192
10014009001,51,26,2,192
14833072001,6,6,1,48
12011093001,1,1,1,12
14620114001,3,3,1,48
14710017001,1,1,1,36
11072004001,1,1,1,72
10020006001,1,1,1,240
14600011001,2,2,1,144
14616006001,11,11,1,48
14520065001,15,15,1,192
14511052001,6,6,1,24
14350009001,3,3,1,18
15023012001,123,62,2,576
10041002001,39,20,2,192
12326002001,1,1,1,24
31504001001,2,2,1,10
12020070001,1,1,1,216
12123057001,6,6,1,18
14501940001,1,1,1,10
14204010001,39,39,1,120
14361162001,4,4,1,24
12201083001,438,28,16,1200
14022002001,4,4,1,12
35302038001,1,1,1,48
14222142001,6,3,2,40
14361101001,11,6,2,48
12210024001,65,17,4,240
12005084001,1,1,1,144
15022020001,4,4,1,192
12103127001,1,1,1,96
12022162001,1,1,1,240
31533084001,1,1,1,72
14520068001,10,10,1,192
14204059001,9,9,1,48
14010098001,3,3,1,24
10303002001,48,48,1,192
10034019001,263,53,5,1440
14222036001,1,1,1,120
10041085001,70,14,5,240
14350005001,4,4,1,16
12020224001,1,1,1,96
14011051001,7,7,1,24
14020006001,5,3,2,24
12201051001,17,17,1,75
12105036001,1,1,1,72
14311189001,1,1,1,48
35751001001,2,2,1,24
14361128001,3,3,1,24
10014032001,75,38,2,432
14243131001,1,1,1,40
14853069001,1,1,1,60
11051057001,1,1,1,96
14102250001,22,5,5,100
10035003001,13,7,2,48
10040025001,21,2,14,84
34511006001,1,1,1,8
11050050001,1,1,1,96
10002911001,1,1,1,192
14502041001,99,33,3,360
14500032001,12,12,1,120
14616053001,1,1,1,48
12122037001,1,1,1,48
14112021001,4,4,1,20
14500024001,40,14,3,144
14020053001,15,8,2,128
10033019001,27,6,5,120
10020008001,15,15,1,96
14503034001,12,12,1,80
14504008001,26,26,1,120
12220015001,14,1,14,56
10031005001,350,70,5,1440
12020418001,1,1,1,192
12123021001,2,2,1,48
12012086001,1,1,1,48
14503003001,219,17,13,936
10001009001,568,57,10,2400
11110032001,1,1,1,6
14204061001,7,3,3,36
10040020001,65,11,6,288
14505013001,187,27,7,840
11111011001,4,2,2,24
14501012001,36,12,3,144
14831022001,13,13,1,288
14506002001,4,4,1,16
10002007001,54,27,2,384
14103009001,11,4,3,48
10033003001,39,13,3,144
12000178001,6,6,1,48
14362041001,5,5,1,40
14602086001,1,1,1,96
10033010001,47,7,7,168
14023029001,19,4,6,72
14103018001,6,6,1,20
14242133001,4,2,2,16
14120017001,4,4,1,24
10052046001,1,1,1,48
14203017001,22,8,3,120
14011031001,15,5,3,54
10031909001,4,4,1,96
14833010001,33,33,1,240
14204022001,1,1,1,20
11032225001,1,1,1,240
10023087001,1,1,1,48
11050111001,1,1,1,24
10014023001,140,70,2,480
10002071001,19,10,2,96
12005072003,1,1,1,72
10030005001,15,8,2,48
14105129001,4,4,1,27
14243058001,5,5,1,96
15021003001,79,79,1,288
14506898001,11,11,1,80
12011322001,1,1,1,24
10031013001,298,43,7,1512
14101004001,4,4,1,24
30045079001,1,1,1,120
15022015001,17,17,1,192
12020101001,1,1,1,192
11040010001,7,7,1,48
14242012001,5,5,1,40
31531171001,2,2,1,72
14620021001,4,4,1,48
14010011001,20,2,13,78
12234916001,1,1,1,12
10033070001,124,14,9,432
14361106001,9,5,2,48
10041006001,35,18,2,192
12000092001,1,1,1,96
14852904001,4,4,1,96
14620907001,11,6,2,48
10040089001,3,3,1,80
11111023001,1,1,1,24
11061071001,4,4,1,40
12201898001,301,21,15,1125
10031017001,92,46,2,384
12103154001,2,2,1,192
14501013001,171,9,21,504
14830002001,27,27,1,288
10040048001,217,7,36,576
12121064001,4,4,1,40
12004046001,1,1,1,216
14133030001,5,5,1,24
14011006001,6,3,2,24
11070040001,1,1,1,48
14223003001,9,9,1,40
10021008001,742,75,10,2880
14020008001,4,4,1,24
14000021001,4,4,1,48
11050020001,4,4,1,24
15022017001,53,53,1,288
10032064001,90,45,2,576
10022030001,47,47,1,192
14311015001,1,1,1,40
14002006001,2,2,1,24
14504028001,34,34,1,120
14010187001,5,5,1,32
12120090001,1,1,1,72
14131027001,15,4,4,64
12103139001,1,1,1,96
14000197001,22,6,4,96
10000026001,139,47,3,576
31533008001,5,5,1,90
10040010001,62,13,5,240
10040037001,6,2,4,24
14130010001,6,3,2,24
12103126001,1,1,1,192
10021012001,203,41,5,720
10041087001,4,4,1,48
14010094001,5,5,1,36
12102152001,2,2,1,48
14361907001,3,3,1,15
14121173001,4,4,1,48
35307905001,1,1,1,40
10030012001,17,5,4,64
14621021001,42,14,3,144
12014022001,1,1,1,160
14615082001,5,5,1,24
10032006001,538,77,7,2016
14510031001,1,1,1,24
14510007001,11,6,2,48
11103070001,8,3,3,36
10014090001,168,56,3,864
12221009001,6,6,1,50
14505099001,24,12,2,96
10030007001,91,19,5,480
11103375001,4,2,2,24
12005108006,1,1,1,48
14502010001,43,22,2,192
15022026001,842,141,6,2304
14203078001,4,4,1,20
12001010001,1,1,1,96
14130001001,9,5,2,32
10031012001,60,15,4,192
11074060002,1,1,1,120
12101001002,1,1,1,216
14610004001,11,11,1,48
14011052001,223,15,15,720
14510033001,8,4,2,48
14720003001,1,1,1,80
14620062001,9,5,2,48
14132015001,14,5,3,72
10023004001,1,1,1,144
14501037001,9,9,1,72
14103030001,5,5,1,30
14022019001,14,5,3,60
14830011001,6,6,1,240
12120043001,1,1,1,60
10040041001,87,29,3,432
14506084001,5,5,1,60
15020010001,277,70,4,1152
10014043001,2,2,1,72
10002025001,10,5,2,48
15023036001,4,4,1,144
10021017001,43,22,2,192
14011029001,56,4,16,192
14851003001,3,2,2,10
14014011001,8,8,1,24
14831011001,19,19,1,288
31502006001,6,6,1,48
10030021001,18,9,2,96
10040033001,32,5,7,112
14851063001,6,3,2,24
12327018001,4,4,1,144
11040030001,5,5,1,24
12034063001,1,1,1,108
14510258001,13,5,3,72
14010211001,3,3,1,12
14500006001,18,18,1,96
14500026001,44,11,4,192
12327063001,1,1,1,8
12003086001,2,2,1,192
